,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,21,22
kbaa-p114:__COL__:maidenname,23,23
kbaa-p114:__COL__:birthyear,23,23
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,21,20
kbaa-p114:__COL__:city,22,21
kbaa-p114:__COL__:publisher,22,20
kbaa-p114:__COL__:publishyear,22,22
kbaa-p114:__COL__:pagecount,22,20
kbaa-p114:__COL__:library,22,20
kbaa-p114:__COL__:description,22,21
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,289,281
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,22,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,96.65551839464884,93.9799331103679
kbaa-p006:__COL__:lastname,24,24
kbaa-p006:__COL__:firstname,24,18
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,24
kbaa-p006:__COL__:deathyear,24,23
kbaa-p006:__COL__:title,24,24
kbaa-p006:__COL__:city,24,23
kbaa-p006:__COL__:publisher,24,23
kbaa-p006:__COL__:publishyear,24,24
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,23,19
kbaa-p006:__COL__:description,22,20
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,309,294
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,23,23
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,99.03846153846155,94.23076923076923
kbaa-p010:__COL__:lastname,21,
kbaa-p010:__COL__:firstname,22,
kbaa-p010:__COL__:maidenname,22,
kbaa-p010:__COL__:birthyear,21,
kbaa-p010:__COL__:deathyear,20,
kbaa-p010:__COL__:title,20,
kbaa-p010:__COL__:city,22,
kbaa-p010:__COL__:publisher,21,
kbaa-p010:__COL__:publishyear,22,
kbaa-p010:__COL__:pagecount,22,
kbaa-p010:__COL__:library,22,
kbaa-p010:__COL__:description,18,
kbaa-p010:__COL__:index,22,
kbaa-p010:matches,275,
kbaa-p010:total,286,
kbaa-p010:mismatch_bool,False,True
kbaa-p010:pred_nrows,21,20
kbaa-p010:pred_adj_nrows,22,20
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,96.15384615384616,
kbaa-p067:__COL__:lastname,20,20
kbaa-p067:__COL__:firstname,19,19
kbaa-p067:__COL__:maidenname,19,19
kbaa-p067:__COL__:birthyear,20,20
kbaa-p067:__COL__:deathyear,20,20
kbaa-p067:__COL__:title,18,17
kbaa-p067:__COL__:city,20,20
kbaa-p067:__COL__:publisher,19,18
kbaa-p067:__COL__:publishyear,19,19
kbaa-p067:__COL__:pagecount,19,19
kbaa-p067:__COL__:library,19,17
kbaa-p067:__COL__:description,14,15
kbaa-p067:__COL__:index,20,20
kbaa-p067:matches,246,243
kbaa-p067:total,260,260
kbaa-p067:mismatch_bool,False,False
kbaa-p067:pred_nrows,19,19
kbaa-p067:pred_adj_nrows,20,20
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,94.61538461538461,93.46153846153847
kbaa-p071:__COL__:lastname,21,19
kbaa-p071:__COL__:firstname,20,16
kbaa-p071:__COL__:maidenname,20,20
kbaa-p071:__COL__:birthyear,20,17
kbaa-p071:__COL__:deathyear,21,21
kbaa-p071:__COL__:title,20,16
kbaa-p071:__COL__:city,21,14
kbaa-p071:__COL__:publisher,21,17
kbaa-p071:__COL__:publishyear,19,16
kbaa-p071:__COL__:pagecount,21,15
kbaa-p071:__COL__:library,21,17
kbaa-p071:__COL__:description,19,17
kbaa-p071:__COL__:index,21,17
kbaa-p071:matches,265,222
kbaa-p071:total,273,273
kbaa-p071:mismatch_bool,False,False
kbaa-p071:pred_nrows,21,20
kbaa-p071:pred_adj_nrows,21,21
kbaa-p071:gt_nrows,21,21
kbaa-p071:matches_pct,97.06959706959707,81.31868131868131
kbaa-p070:matches,,234
kbaa-p070:total,,247
kbaa-p070:mismatch_bool,True,False
kbaa-p070:pred_nrows,17,18
kbaa-p070:pred_adj_nrows,17,19
kbaa-p070:gt_nrows,19,19
kbaa-p070:matches_pct,,94.73684210526315
