,gemini-2.5-flash,gpt-4o
kbaa-p003:__COL__:lastname,18,18
kbaa-p003:__COL__:firstname,19,18
kbaa-p003:__COL__:maidenname,19,19
kbaa-p003:__COL__:birthyear,19,19
kbaa-p003:__COL__:deathyear,19,19
kbaa-p003:__COL__:title,17,16
kbaa-p003:__COL__:city,18,10
kbaa-p003:__COL__:publisher,18,18
kbaa-p003:__COL__:publishyear,18,19
kbaa-p003:__COL__:pagecount,18,19
kbaa-p003:__COL__:library,17,16
kbaa-p003:__COL__:description,17,17
kbaa-p003:__COL__:index,19,19
kbaa-p003:matches,236,227
kbaa-p003:total,247,247
kbaa-p003:mismatch_bool,False,False
kbaa-p003:pred_nrows,19,18
kbaa-p003:pred_adj_nrows,19,19
kbaa-p003:gt_nrows,19,19
kbaa-p003:matches_pct,95.54655870445345,91.90283400809717
kbaa-p004:__COL__:lastname,20,20
kbaa-p004:__COL__:firstname,19,20
kbaa-p004:__COL__:maidenname,20,20
kbaa-p004:__COL__:birthyear,20,18
kbaa-p004:__COL__:deathyear,20,18
kbaa-p004:__COL__:title,19,17
kbaa-p004:__COL__:city,20,18
kbaa-p004:__COL__:publisher,19,16
kbaa-p004:__COL__:publishyear,19,18
kbaa-p004:__COL__:pagecount,20,19
kbaa-p004:__COL__:library,20,17
kbaa-p004:__COL__:description,17,18
kbaa-p004:__COL__:index,20,20
kbaa-p004:matches,253,239
kbaa-p004:total,260,260
kbaa-p004:mismatch_bool,False,False
kbaa-p004:pred_nrows,20,19
kbaa-p004:pred_adj_nrows,20,20
kbaa-p004:gt_nrows,20,20
kbaa-p004:matches_pct,97.3076923076923,91.92307692307692
kbaa-p005:matches,,256
kbaa-p005:total,,273
kbaa-p005:mismatch_bool,True,False
kbaa-p005:pred_nrows,19,21
kbaa-p005:pred_adj_nrows,19,21
kbaa-p005:gt_nrows,21,21
kbaa-p005:matches_pct,,93.77289377289377
kbaa-p006:__COL__:lastname,24,23
kbaa-p006:__COL__:firstname,21,21
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,23
kbaa-p006:__COL__:deathyear,24,23
kbaa-p006:__COL__:title,24,23
kbaa-p006:__COL__:city,24,23
kbaa-p006:__COL__:publisher,24,22
kbaa-p006:__COL__:publishyear,24,23
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,24,19
kbaa-p006:__COL__:description,22,22
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,307,294
