,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,23,4
kbaa-p114:__COL__:maidenname,23,22
kbaa-p114:__COL__:birthyear,23,22
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,5,5
kbaa-p114:__COL__:city,22,18
kbaa-p114:__COL__:publisher,22,18
kbaa-p114:__COL__:publishyear,22,20
kbaa-p114:__COL__:pagecount,22,22
kbaa-p114:__COL__:library,22,0
kbaa-p114:__COL__:description,19,16
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,272,216
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,22,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,90.96989966555184,72.24080267558529
kbaa-p006:__COL__:lastname,24,23
kbaa-p006:__COL__:firstname,21,20
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,23
kbaa-p006:__COL__:deathyear,24,23
kbaa-p006:__COL__:title,22,18
kbaa-p006:__COL__:city,24,22
kbaa-p006:__COL__:publisher,22,19
kbaa-p006:__COL__:publishyear,24,24
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,23,21
kbaa-p006:__COL__:description,22,21
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,302,286
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,23,24
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,96.7948717948718,91.66666666666666
kbaa-p010:__COL__:lastname,21,21
kbaa-p010:__COL__:firstname,21,19
kbaa-p010:__COL__:maidenname,22,22
kbaa-p010:__COL__:birthyear,21,22
kbaa-p010:__COL__:deathyear,21,22
kbaa-p010:__COL__:title,11,4
kbaa-p010:__COL__:city,22,20
kbaa-p010:__COL__:publisher,22,22
kbaa-p010:__COL__:publishyear,22,22
