,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,22,23
kbaa-p114:__COL__:maidenname,23,23
kbaa-p114:__COL__:birthyear,23,22
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,5,12
kbaa-p114:__COL__:city,17,21
kbaa-p114:__COL__:publisher,21,20
kbaa-p114:__COL__:publishyear,22,22
kbaa-p114:__COL__:pagecount,20,19
kbaa-p114:__COL__:library,0,20
kbaa-p114:__COL__:description,20,16
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,242,267
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,22,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,80.93645484949833,89.29765886287625
kbaa-p006:__COL__:lastname,24,23
kbaa-p006:__COL__:firstname,21,17
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,23
kbaa-p006:__COL__:deathyear,23,23
kbaa-p006:__COL__:title,21,0
kbaa-p006:__COL__:city,23,22
kbaa-p006:__COL__:publisher,19,19
kbaa-p006:__COL__:publishyear,24,24
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,23,20
kbaa-p006:__COL__:description,22,21
kbaa-p006:__COL__:index,24,23
kbaa-p006:matches,296,263
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,23,24
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,94.87179487179486,84.2948717948718
kbaa-p010:matches,,
kbaa-p010:total,,
kbaa-p010:mismatch_bool,True,True
kbaa-p010:pred_nrows,20,20
kbaa-p010:pred_adj_nrows,20,20
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,,
kbaa-p067:__COL__:lastname,19,
kbaa-p067:__COL__:firstname,18,
kbaa-p067:__COL__:maidenname,18,
kbaa-p067:__COL__:birthyear,20,
kbaa-p067:__COL__:deathyear,20,
kbaa-p067:__COL__:title,1,
kbaa-p067:__COL__:city,20,
kbaa-p067:__COL__:publisher,19,
kbaa-p067:__COL__:publishyear,20,
kbaa-p067:__COL__:pagecount,20,
kbaa-p067:__COL__:library,1,
kbaa-p067:__COL__:description,12,
kbaa-p067:__COL__:index,20,
kbaa-p067:matches,208,
kbaa-p067:total,260,
kbaa-p067:mismatch_bool,False,True
kbaa-p067:pred_nrows,20,18
kbaa-p067:pred_adj_nrows,20,18
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,80.0,
kbaa-p071:__COL__:lastname,21,19
kbaa-p071:__COL__:firstname,19,16
kbaa-p071:__COL__:maidenname,20,20
kbaa-p071:__COL__:birthyear,20,17
kbaa-p071:__COL__:deathyear,21,21
kbaa-p071:__COL__:title,4,0
kbaa-p071:__COL__:city,21,14
kbaa-p071:__COL__:publisher,20,17
kbaa-p071:__COL__:publishyear,19,15
kbaa-p071:__COL__:pagecount,21,15
kbaa-p071:__COL__:library,20,17
kbaa-p071:__COL__:description,19,17
kbaa-p071:__COL__:index,21,17
kbaa-p071:matches,246,205
kbaa-p071:total,273,273
kbaa-p071:mismatch_bool,False,False
kbaa-p071:pred_nrows,21,20
kbaa-p071:pred_adj_nrows,21,21
kbaa-p071:gt_nrows,21,21
kbaa-p071:matches_pct,90.10989010989012,75.0915750915751
kbaa-p070:__COL__:lastname,17,3
kbaa-p070:__COL__:firstname,17,2
kbaa-p070:__COL__:maidenname,17,15
kbaa-p070:__COL__:birthyear,18,4
kbaa-p070:__COL__:deathyear,18,10
kbaa-p070:__COL__:title,2,0
kbaa-p070:__COL__:city,15,1
kbaa-p070:__COL__:publisher,16,0
kbaa-p070:__COL__:publishyear,18,1
kbaa-p070:__COL__:pagecount,18,1
