,gemini-2.5-flash,gpt-4o
kbaa-p003:__COL__:lastname,19,18
kbaa-p003:__COL__:firstname,19,17
kbaa-p003:__COL__:maidenname,19,19
kbaa-p003:__COL__:birthyear,19,19
kbaa-p003:__COL__:deathyear,18,19
kbaa-p003:__COL__:title,18,18
kbaa-p003:__COL__:city,18,18
kbaa-p003:__COL__:publisher,18,15
kbaa-p003:__COL__:publishyear,19,19
kbaa-p003:__COL__:pagecount,19,19
kbaa-p003:__COL__:library,18,6
kbaa-p003:__COL__:description,18,4
kbaa-p003:__COL__:index,19,18
kbaa-p003:matches,241,209
kbaa-p003:total,247,247
kbaa-p003:mismatch_bool,False,False
kbaa-p003:pred_nrows,19,18
kbaa-p003:pred_adj_nrows,19,19
kbaa-p003:gt_nrows,19,19
kbaa-p003:matches_pct,97.57085020242914,84.61538461538461
kbaa-p004:__COL__:lastname,20,20
kbaa-p004:__COL__:firstname,20,20
kbaa-p004:__COL__:maidenname,20,20
kbaa-p004:__COL__:birthyear,20,20
kbaa-p004:__COL__:deathyear,20,20
kbaa-p004:__COL__:title,19,16
kbaa-p004:__COL__:city,20,19
kbaa-p004:__COL__:publisher,15,15
kbaa-p004:__COL__:publishyear,19,18
kbaa-p004:__COL__:pagecount,19,19
kbaa-p004:__COL__:library,20,17
kbaa-p004:__COL__:description,19,17
kbaa-p004:__COL__:index,20,20
kbaa-p004:matches,251,241
kbaa-p004:total,260,260
kbaa-p004:mismatch_bool,False,False
kbaa-p004:pred_nrows,20,19
kbaa-p004:pred_adj_nrows,20,20
kbaa-p004:gt_nrows,20,20
kbaa-p004:matches_pct,96.53846153846153,92.6923076923077
kbaa-p005:matches,,77
kbaa-p005:total,,273
kbaa-p005:mismatch_bool,True,False
kbaa-p005:pred_nrows,19,20
kbaa-p005:pred_adj_nrows,19,21
kbaa-p005:gt_nrows,21,21
kbaa-p005:matches_pct,,28.205128205128204
kbaa-p006:__COL__:lastname,24,24
kbaa-p006:__COL__:firstname,21,20
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,23
kbaa-p006:__COL__:deathyear,23,24
kbaa-p006:__COL__:title,24,24
kbaa-p006:__COL__:city,24,22
kbaa-p006:__COL__:publisher,24,18
kbaa-p006:__COL__:publishyear,24,23
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,23,20
kbaa-p006:__COL__:description,22,20
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,305,290
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,23,23
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,97.75641025641025,92.94871794871796
kbaa-p007:__COL__:lastname,21,21
kbaa-p007:__COL__:firstname,21,20
kbaa-p007:__COL__:maidenname,21,21
kbaa-p007:__COL__:birthyear,21,21
kbaa-p007:__COL__:deathyear,21,21
kbaa-p007:__COL__:title,21,18
kbaa-p007:__COL__:city,21,20
kbaa-p007:__COL__:publisher,21,20
kbaa-p007:__COL__:publishyear,21,21
kbaa-p007:__COL__:pagecount,20,19
kbaa-p007:__COL__:library,20,20
kbaa-p007:__COL__:description,20,19
kbaa-p007:__COL__:index,21,20
kbaa-p007:matches,270,261
kbaa-p007:total,273,273
kbaa-p007:mismatch_bool,False,False
kbaa-p007:pred_nrows,20,20
kbaa-p007:pred_adj_nrows,21,21
kbaa-p007:gt_nrows,21,21
kbaa-p007:matches_pct,98.9010989010989,95.6043956043956
kbaa-p008:__COL__:lastname,17,17
kbaa-p008:__COL__:firstname,15,15
kbaa-p008:__COL__:maidenname,22,21
kbaa-p008:__COL__:birthyear,17,15
kbaa-p008:__COL__:deathyear,20,18
kbaa-p008:__COL__:title,13,10
kbaa-p008:__COL__:city,16,15
kbaa-p008:__COL__:publisher,14,13
kbaa-p008:__COL__:publishyear,15,15
kbaa-p008:__COL__:pagecount,16,15
kbaa-p008:__COL__:library,15,14
kbaa-p008:__COL__:description,15,14
kbaa-p008:__COL__:index,15,15
kbaa-p008:matches,210,197
kbaa-p008:total,286,286
