,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,21,22
kbaa-p114:__COL__:maidenname,23,23
kbaa-p114:__COL__:birthyear,23,23
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,21,20
kbaa-p114:__COL__:city,22,21
kbaa-p114:__COL__:publisher,22,18
kbaa-p114:__COL__:publishyear,22,22
kbaa-p114:__COL__:pagecount,22,20
kbaa-p114:__COL__:library,22,19
kbaa-p114:__COL__:description,21,17
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,288,274
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,22,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,96.32107023411372,91.63879598662207
kbaa-p006:__COL__:lastname,24,24
kbaa-p006:__COL__:firstname,24,17
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,24
kbaa-p006:__COL__:deathyear,24,23
kbaa-p006:__COL__:title,24,24
kbaa-p006:__COL__:city,24,22
kbaa-p006:__COL__:publisher,24,22
kbaa-p006:__COL__:publishyear,24,24
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,23,18
kbaa-p006:__COL__:description,22,20
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,309,290
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,23,23
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,99.03846153846155,92.94871794871796
kbaa-p010:__COL__:lastname,21,
kbaa-p010:__COL__:firstname,22,
kbaa-p010:__COL__:maidenname,22,
kbaa-p010:__COL__:birthyear,21,
kbaa-p010:__COL__:deathyear,20,
kbaa-p010:__COL__:title,19,
kbaa-p010:__COL__:city,22,
kbaa-p010:__COL__:publisher,21,
kbaa-p010:__COL__:publishyear,22,
kbaa-p010:__COL__:pagecount,22,
kbaa-p010:__COL__:library,22,
kbaa-p010:__COL__:description,18,
kbaa-p010:__COL__:index,22,
kbaa-p010:matches,274,
kbaa-p010:total,286,
kbaa-p010:mismatch_bool,False,True
kbaa-p010:pred_nrows,21,20
kbaa-p010:pred_adj_nrows,22,20
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,95.8041958041958,
kbaa-p067:__COL__:lastname,20,20
kbaa-p067:__COL__:firstname,19,18
kbaa-p067:__COL__:maidenname,19,19
kbaa-p067:__COL__:birthyear,20,20
kbaa-p067:__COL__:deathyear,20,20
kbaa-p067:__COL__:title,17,17
kbaa-p067:__COL__:city,20,19
kbaa-p067:__COL__:publisher,18,17
kbaa-p067:__COL__:publishyear,19,19
kbaa-p067:__COL__:pagecount,19,19
kbaa-p067:__COL__:library,19,17
kbaa-p067:__COL__:description,13,13
kbaa-p067:__COL__:index,20,20
kbaa-p067:matches,243,238
kbaa-p067:total,260,260
kbaa-p067:mismatch_bool,False,False
kbaa-p067:pred_nrows,19,19
kbaa-p067:pred_adj_nrows,20,20
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,93.46153846153847,91.53846153846153
kbaa-p071:__COL__:lastname,21,19
kbaa-p071:__COL__:firstname,20,16
kbaa-p071:__COL__:maidenname,20,20
kbaa-p071:__COL__:birthyear,20,17
kbaa-p071:__COL__:deathyear,21,21
kbaa-p071:__COL__:title,20,15
kbaa-p071:__COL__:city,21,14
kbaa-p071:__COL__:publisher,21,17
kbaa-p071:__COL__:publishyear,19,16
kbaa-p071:__COL__:pagecount,21,15
kbaa-p071:__COL__:library,21,17
kbaa-p071:__COL__:description,18,17
kbaa-p071:__COL__:index,21,17
kbaa-p071:matches,264,221
kbaa-p071:total,273,273
kbaa-p071:mismatch_bool,False,False
kbaa-p071:pred_nrows,21,20
kbaa-p071:pred_adj_nrows,21,21
kbaa-p071:gt_nrows,21,21
kbaa-p071:matches_pct,96.7032967032967,80.95238095238095
kbaa-p070:matches,,232
kbaa-p070:total,,247
kbaa-p070:mismatch_bool,True,False
kbaa-p070:pred_nrows,17,18
kbaa-p070:pred_adj_nrows,17,19
kbaa-p070:gt_nrows,19,19
kbaa-p070:matches_pct,,93.92712550607287
