,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,23,23
kbaa-p114:__COL__:maidenname,23,23
kbaa-p114:__COL__:birthyear,23,23
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,22,22
kbaa-p114:__COL__:city,23,22
kbaa-p114:__COL__:publisher,23,22
kbaa-p114:__COL__:publishyear,23,22
kbaa-p114:__COL__:pagecount,23,22
kbaa-p114:__COL__:library,23,22
kbaa-p114:__COL__:description,21,22
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,296,292
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,23,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,98.99665551839465,97.65886287625418
kbaa-p006:__COL__:lastname,24,
kbaa-p006:__COL__:firstname,24,
kbaa-p006:__COL__:maidenname,24,
kbaa-p006:__COL__:birthyear,24,
kbaa-p006:__COL__:deathyear,24,
kbaa-p006:__COL__:title,24,
kbaa-p006:__COL__:city,24,
kbaa-p006:__COL__:publisher,24,
kbaa-p006:__COL__:publishyear,24,
kbaa-p006:__COL__:pagecount,24,
kbaa-p006:__COL__:library,23,
kbaa-p006:__COL__:description,22,
kbaa-p006:__COL__:index,24,
kbaa-p006:matches,309,
kbaa-p006:total,312,
kbaa-p006:mismatch_bool,False,True
kbaa-p006:pred_nrows,23,22
kbaa-p006:pred_adj_nrows,24,22
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,99.03846153846155,
kbaa-p010:matches,,
kbaa-p010:total,,
kbaa-p010:mismatch_bool,True,True
kbaa-p010:pred_nrows,19,20
kbaa-p010:pred_adj_nrows,19,20
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,,
kbaa-p067:matches,,253
kbaa-p067:total,,260
kbaa-p067:mismatch_bool,True,False
kbaa-p067:pred_nrows,18,20
kbaa-p067:pred_adj_nrows,18,20
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,,97.3076923076923
kbaa-p071:__COL__:lastname,21,21
kbaa-p071:__COL__:firstname,20,19
kbaa-p071:__COL__:maidenname,20,20
kbaa-p071:__COL__:birthyear,20,20
kbaa-p071:__COL__:deathyear,21,21
kbaa-p071:__COL__:title,21,21
kbaa-p071:__COL__:city,20,21
kbaa-p071:__COL__:publisher,21,21
kbaa-p071:__COL__:publishyear,19,19
kbaa-p071:__COL__:pagecount,21,21
kbaa-p071:__COL__:library,21,21
kbaa-p071:__COL__:description,18,20
kbaa-p071:__COL__:index,21,21
kbaa-p071:matches,264,266
