,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,23,23
kbaa-p114:__COL__:maidenname,23,23
kbaa-p114:__COL__:birthyear,23,23
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,23,22
kbaa-p114:__COL__:city,23,22
kbaa-p114:__COL__:publisher,23,22
kbaa-p114:__COL__:publishyear,23,22
kbaa-p114:__COL__:pagecount,23,22
kbaa-p114:__COL__:library,23,22
kbaa-p114:__COL__:description,19,21
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,295,291
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,23,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,98.66220735785953,97.32441471571906
kbaa-p006:__COL__:lastname,24,
kbaa-p006:__COL__:firstname,24,
kbaa-p006:__COL__:maidenname,24,
kbaa-p006:__COL__:birthyear,24,
kbaa-p006:__COL__:deathyear,24,
kbaa-p006:__COL__:title,24,
kbaa-p006:__COL__:city,24,
kbaa-p006:__COL__:publisher,24,
kbaa-p006:__COL__:publishyear,24,
kbaa-p006:__COL__:pagecount,24,
kbaa-p006:__COL__:library,24,
kbaa-p006:__COL__:description,23,
kbaa-p006:__COL__:index,24,
kbaa-p006:matches,311,
kbaa-p006:total,312,
kbaa-p006:mismatch_bool,False,True
kbaa-p006:pred_nrows,24,22
kbaa-p006:pred_adj_nrows,24,22
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,99.67948717948718,
kbaa-p010:__COL__:lastname,22,
kbaa-p010:__COL__:firstname,22,
kbaa-p010:__COL__:maidenname,22,
kbaa-p010:__COL__:birthyear,22,
kbaa-p010:__COL__:deathyear,22,
kbaa-p010:__COL__:title,22,
kbaa-p010:__COL__:city,22,
kbaa-p010:__COL__:publisher,22,
kbaa-p010:__COL__:publishyear,22,
kbaa-p010:__COL__:pagecount,22,
kbaa-p010:__COL__:library,22,
kbaa-p010:__COL__:description,20,
kbaa-p010:__COL__:index,22,
kbaa-p010:matches,284,
kbaa-p010:total,286,
kbaa-p010:mismatch_bool,False,True
kbaa-p010:pred_nrows,21,19
kbaa-p010:pred_adj_nrows,22,19
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,99.3006993006993,
kbaa-p067:matches,,250
kbaa-p067:total,,260
kbaa-p067:mismatch_bool,True,False
kbaa-p067:pred_nrows,18,20
kbaa-p067:pred_adj_nrows,18,20
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,,96.15384615384616
