,gemini-2.5-flash,gpt-4o
kbaa-p003:__COL__:lastname,17,18
kbaa-p003:__COL__:firstname,18,18
kbaa-p003:__COL__:maidenname,19,19
kbaa-p003:__COL__:birthyear,19,19
kbaa-p003:__COL__:deathyear,19,19
kbaa-p003:__COL__:title,19,19
kbaa-p003:__COL__:city,19,19
kbaa-p003:__COL__:publisher,19,19
kbaa-p003:__COL__:publishyear,19,19
kbaa-p003:__COL__:pagecount,19,19
kbaa-p003:__COL__:library,19,19
kbaa-p003:__COL__:description,19,19
kbaa-p003:__COL__:index,19,19
kbaa-p003:matches,244,245
kbaa-p003:total,247,247
kbaa-p003:mismatch_bool,False,False
kbaa-p003:pred_nrows,19,19
kbaa-p003:pred_adj_nrows,19,19
kbaa-p003:gt_nrows,19,19
kbaa-p003:matches_pct,98.78542510121457,99.19028340080972
kbaa-p004:__COL__:lastname,20,20
kbaa-p004:__COL__:firstname,19,20
kbaa-p004:__COL__:maidenname,20,20
kbaa-p004:__COL__:birthyear,20,20
kbaa-p004:__COL__:deathyear,20,20
kbaa-p004:__COL__:title,19,19
kbaa-p004:__COL__:city,20,20
kbaa-p004:__COL__:publisher,19,19
kbaa-p004:__COL__:publishyear,20,20
kbaa-p004:__COL__:pagecount,20,20
kbaa-p004:__COL__:library,17,20
kbaa-p004:__COL__:description,18,20
kbaa-p004:__COL__:index,20,20
kbaa-p004:matches,252,258
kbaa-p004:total,260,260
kbaa-p004:mismatch_bool,False,False
kbaa-p004:pred_nrows,20,20
kbaa-p004:pred_adj_nrows,20,20
kbaa-p004:gt_nrows,20,20
kbaa-p004:matches_pct,96.92307692307692,99.23076923076923
kbaa-p005:matches,,83
kbaa-p005:total,,273
kbaa-p005:mismatch_bool,True,False
kbaa-p005:pred_nrows,19,20
kbaa-p005:pred_adj_nrows,19,21
kbaa-p005:gt_nrows,21,21
kbaa-p005:matches_pct,,30.4029304029304
kbaa-p006:__COL__:lastname,24,
kbaa-p006:__COL__:firstname,21,
kbaa-p006:__COL__:maidenname,24,
kbaa-p006:__COL__:birthyear,24,
kbaa-p006:__COL__:deathyear,24,
kbaa-p006:__COL__:title,24,
kbaa-p006:__COL__:city,24,
kbaa-p006:__COL__:publisher,22,
kbaa-p006:__COL__:publishyear,24,
kbaa-p006:__COL__:pagecount,24,
kbaa-p006:__COL__:library,23,
kbaa-p006:__COL__:description,22,
kbaa-p006:__COL__:index,24,
kbaa-p006:matches,304,
kbaa-p006:total,312,
kbaa-p006:mismatch_bool,False,True
kbaa-p006:pred_nrows,23,22
kbaa-p006:pred_adj_nrows,24,22
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,97.43589743589743,
kbaa-p007:__COL__:lastname,21,20
kbaa-p007:__COL__:firstname,21,21
kbaa-p007:__COL__:maidenname,21,21
kbaa-p007:__COL__:birthyear,21,21
kbaa-p007:__COL__:deathyear,21,21
kbaa-p007:__COL__:title,21,17
kbaa-p007:__COL__:city,21,21
kbaa-p007:__COL__:publisher,21,21
kbaa-p007:__COL__:publishyear,21,21
kbaa-p007:__COL__:pagecount,20,21
kbaa-p007:__COL__:library,20,21
kbaa-p007:__COL__:description,18,21
kbaa-p007:__COL__:index,21,21
kbaa-p007:matches,268,268
kbaa-p007:total,273,273
kbaa-p007:mismatch_bool,False,False
kbaa-p007:pred_nrows,20,21
kbaa-p007:pred_adj_nrows,21,21
kbaa-p007:gt_nrows,21,21
kbaa-p007:matches_pct,98.16849816849816,98.16849816849816
kbaa-p008:__COL__:lastname,22,22
kbaa-p008:__COL__:firstname,21,21
kbaa-p008:__COL__:maidenname,22,22
kbaa-p008:__COL__:birthyear,22,22
kbaa-p008:__COL__:deathyear,22,22
kbaa-p008:__COL__:title,21,19
kbaa-p008:__COL__:city,22,22
kbaa-p008:__COL__:publisher,21,20
kbaa-p008:__COL__:publishyear,22,22
kbaa-p008:__COL__:pagecount,22,21
kbaa-p008:__COL__:library,22,22
kbaa-p008:__COL__:description,22,22
kbaa-p008:__COL__:index,22,22
kbaa-p008:matches,283,279
kbaa-p008:total,286,286
kbaa-p008:mismatch_bool,False,False
kbaa-p008:pred_nrows,22,22
kbaa-p008:pred_adj_nrows,22,22
kbaa-p008:gt_nrows,22,22
kbaa-p008:matches_pct,98.95104895104895,97.55244755244755
kbaa-p009:__COL__:lastname,23,22
kbaa-p009:__COL__:firstname,23,18
kbaa-p009:__COL__:maidenname,23,23
kbaa-p009:__COL__:birthyear,23,23
kbaa-p009:__COL__:deathyear,23,23
kbaa-p009:__COL__:title,22,23
kbaa-p009:__COL__:city,22,23
kbaa-p009:__COL__:publisher,22,23
kbaa-p009:__COL__:publishyear,22,23
kbaa-p009:__COL__:pagecount,22,23
kbaa-p009:__COL__:library,22,23
kbaa-p009:__COL__:description,22,22
kbaa-p009:__COL__:index,23,23
kbaa-p009:matches,292,292
kbaa-p009:total,299,299
kbaa-p009:mismatch_bool,False,False
kbaa-p009:pred_nrows,22,23
kbaa-p009:pred_adj_nrows,23,23
kbaa-p009:gt_nrows,23,23
kbaa-p009:matches_pct,97.65886287625418,97.65886287625418
kbaa-p010:matches,,
kbaa-p010:total,,
kbaa-p010:mismatch_bool,True,True
kbaa-p010:pred_nrows,20,19
kbaa-p010:pred_adj_nrows,20,19
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,,
kbaa-p011:__COL__:lastname,21,20
kbaa-p011:__COL__:firstname,22,21
kbaa-p011:__COL__:maidenname,21,22
kbaa-p011:__COL__:birthyear,22,22
kbaa-p011:__COL__:deathyear,22,22
kbaa-p011:__COL__:title,21,22
kbaa-p011:__COL__:city,22,22
kbaa-p011:__COL__:publisher,22,22
kbaa-p011:__COL__:publishyear,22,22
kbaa-p011:__COL__:pagecount,22,22
kbaa-p011:__COL__:library,22,22
kbaa-p011:__COL__:description,19,20
kbaa-p011:__COL__:index,22,22
kbaa-p011:matches,280,281
kbaa-p011:total,286,286
kbaa-p011:mismatch_bool,False,False
kbaa-p011:pred_nrows,22,22
