,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,20,14
kbaa-p003:doc_len,2894,2894
kbaa-p003:cer_pct,0.691085003455425,0.48375950241879756
kbaa-p003:wer_pct,3.3112582781456954,1.7660044150110374
kbaa-p003:token_sort_ratio,98.5802693847834,99.78165938864629
kbaa-p039:dist_char,107,36
kbaa-p039:doc_len,3463,3463
kbaa-p039:cer_pct,3.0898065261334104,1.03956107421311
kbaa-p039:wer_pct,5.7251908396946565,4.770992366412214
kbaa-p039:token_sort_ratio,98.18126241785113,99.24448473859172
kbaa-p005:dist_char,53,22
kbaa-p005:doc_len,3737,3737
kbaa-p005:cer_pct,1.4182499331014182,0.5887075194005887
kbaa-p005:wer_pct,3.050847457627119,1.694915254237288
kbaa-p005:token_sort_ratio,98.96387566507981,99.07769703745109
kbaa-p011:dist_char,177,25
kbaa-p011:doc_len,3658,3658
kbaa-p011:cer_pct,4.838709677419355,0.683433570256971
kbaa-p011:wer_pct,7.293354943273905,1.4586709886547813
kbaa-p011:token_sort_ratio,99.41353168359319,99.56908934214306
kbaa-p010:dist_char,298,61
kbaa-p010:doc_len,3636,3636
kbaa-p010:cer_pct,8.195819581958196,1.6776677667766777
kbaa-p010:wer_pct,9.79020979020979,1.9230769230769231
kbaa-p010:token_sort_ratio,99.53956834532374,99.82723869853153
kbaa-p004:dist_char,244,53
kbaa-p004:doc_len,3757,3757
kbaa-p004:cer_pct,6.4945435187649725,1.4107000266169818
kbaa-p004:wer_pct,11.11111111111111,4.1459369817578775
kbaa-p004:token_sort_ratio,98.45123482628715,98.66220735785953
kbaa-p038:dist_char,99,84
kbaa-p038:doc_len,3613,3613
kbaa-p038:cer_pct,2.7401051757542207,2.324937724882369
kbaa-p038:wer_pct,9.41385435168739,9.236234458259325
kbaa-p038:token_sort_ratio,93.47380743342113,93.67975478032405
kbaa-p012:dist_char,46,40
kbaa-p012:doc_len,3755,3755
kbaa-p012:cer_pct,1.2250332889480693,1.0652463382157125
kbaa-p012:wer_pct,1.675041876046901,2.680067001675042
kbaa-p012:token_sort_ratio,99.37089333146932,99.26152988713947
kbaa-p006:dist_char,66,42
kbaa-p006:doc_len,3693,3693
kbaa-p006:cer_pct,1.7871649065800164,1.1372867587327375
kbaa-p006:wer_pct,2.5728987993138936,3.6020583190394513
kbaa-p006:token_sort_ratio,99.75814482856737,98.78658101356173
kbaa-p007:dist_char,254,21
kbaa-p007:doc_len,3637,3637
kbaa-p007:cer_pct,6.983777838878197,0.577398955182843
kbaa-p007:wer_pct,10.750853242320819,1.1945392491467577
kbaa-p007:token_sort_ratio,98.48243965891025,99.59607616849394
kbaa-p060:dist_char,312,67
kbaa-p060:doc_len,3610,3610
kbaa-p060:cer_pct,8.642659279778393,1.85595567867036
kbaa-p060:wer_pct,12.457912457912458,3.7037037037037033
kbaa-p060:token_sort_ratio,98.19767441860465,98.99519440803844
kbaa-p048:dist_char,97,57
kbaa-p048:doc_len,3639,3639
kbaa-p048:cer_pct,2.665567463588898,1.5663643858202803
kbaa-p048:wer_pct,5.49645390070922,3.546099290780142
kbaa-p048:token_sort_ratio,99.08571428571429,98.54822480954435
kbaa-p100:dist_char,165,303
kbaa-p100:doc_len,3854,3854
kbaa-p100:cer_pct,4.281266216917488,7.861961598339387
kbaa-p100:wer_pct,5.709624796084829,9.624796084828711
kbaa-p100:token_sort_ratio,97.64430362308858,98.34374151506924
kbaa-p114:dist_char,56,36
kbaa-p114:doc_len,3551,3551
kbaa-p114:cer_pct,1.5770205575894116,1.0137989298789074
kbaa-p114:wer_pct,2.2413793103448274,3.620689655172414
kbaa-p114:token_sort_ratio,99.36116476006536,99.24522717182181
kbaa-p115:dist_char,61,60
kbaa-p115:doc_len,3709,3709
kbaa-p115:cer_pct,1.6446481531410084,1.6176867080075492
kbaa-p115:wer_pct,2.555366269165247,2.72572402044293
kbaa-p115:token_sort_ratio,98.93842887473461,98.47328244274809
kbaa-p101:dist_char,60,367
kbaa-p101:doc_len,3788,3788
kbaa-p101:cer_pct,1.583949313621964,9.688489968321013
kbaa-p101:wer_pct,3.494176372712146,12.645590682196339
kbaa-p101:token_sort_ratio,99.25311203319502,97.08414329352958
kbaa-p049:dist_char,274,41
kbaa-p049:doc_len,3767,3767
kbaa-p049:cer_pct,7.27369259357579,1.0883992567029468
kbaa-p049:wer_pct,12.39388794567063,4.584040747028863
kbaa-p049:token_sort_ratio,99.00607399226946,99.37664496467656
kbaa-p061:dist_char,323,41
kbaa-p061:doc_len,3633,3633
kbaa-p061:cer_pct,8.890723919625653,1.128543903110377
kbaa-p061:wer_pct,10.051107325383304,2.2146507666098807
kbaa-p061:token_sort_ratio,99.74189848006883,99.38067117960536
kbaa-p063:dist_char,42,51
kbaa-p063:doc_len,3672,3672
kbaa-p063:cer_pct,1.1437908496732025,1.3888888888888888
kbaa-p063:wer_pct,2.2687609075043627,2.966841186736475
kbaa-p063:token_sort_ratio,98.93238434163702,98.84664673216574
kbaa-p062:dist_char,59,43
kbaa-p062:doc_len,3694,3694
kbaa-p062:cer_pct,1.5971846237141312,1.164049810503519
kbaa-p062:wer_pct,3.728813559322034,4.745762711864407
kbaa-p062:token_sort_ratio,99.73129684627351,99.29037751915982
kbaa-p066:dist_char,319,66
kbaa-p066:doc_len,3602,3602
kbaa-p066:cer_pct,8.856191004997225,1.8323153803442533
kbaa-p066:wer_pct,16.815742397137747,6.261180679785331
kbaa-p066:token_sort_ratio,98.59277527926882,98.42886237998255
kbaa-p072:dist_char,340,98
kbaa-p072:doc_len,3594,3594
kbaa-p072:cer_pct,9.460211463550362,2.726766833611575
kbaa-p072:wer_pct,10.55363321799308,4.325259515570934
kbaa-p072:token_sort_ratio,98.37681159420289,98.2853821563499
kbaa-p106:dist_char,150,138
kbaa-p106:doc_len,3754,3754
kbaa-p106:cer_pct,3.9957378795950986,3.6760788492274905
