,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,20,10
kbaa-p003:doc_len,2894,2894
kbaa-p003:cer_pct,0.691085003455425,0.3455425017277125
kbaa-p003:wer_pct,3.3112582781456954,1.545253863134658
kbaa-p003:token_sort_ratio,98.5802693847834,99.85438660356752
kbaa-p039:dist_char,2584,45
kbaa-p039:doc_len,3464,3464
kbaa-p039:cer_pct,74.5958429561201,1.2990762124711317
kbaa-p039:wer_pct,90.0952380952381,5.333333333333334
kbaa-p039:token_sort_ratio,98.41938883034773,98.36660617059891
kbaa-p005:dist_char,53,20
kbaa-p005:doc_len,3737,3737
kbaa-p005:cer_pct,1.4182499331014182,0.5351886540005352
kbaa-p005:wer_pct,3.050847457627119,1.3559322033898304
kbaa-p005:token_sort_ratio,98.96387566507981,99.21765856384465
kbaa-p011:dist_char,177,27
kbaa-p011:doc_len,3658,3658
kbaa-p011:cer_pct,4.838709677419355,0.7381082558775287
kbaa-p011:wer_pct,7.293354943273905,1.9448946515397085
kbaa-p011:token_sort_ratio,99.41353168359319,99.42561746122918
kbaa-p010:dist_char,298,61
kbaa-p010:doc_len,3636,3636
kbaa-p010:cer_pct,8.195819581958196,1.6776677667766777
kbaa-p010:wer_pct,9.79020979020979,1.9230769230769231
kbaa-p010:token_sort_ratio,99.53956834532374,99.82723869853153
kbaa-p004:dist_char,244,52
kbaa-p004:doc_len,3757,3757
kbaa-p004:cer_pct,6.4945435187649725,1.384083044982699
kbaa-p004:wer_pct,11.11111111111111,3.9800995024875623
kbaa-p004:token_sort_ratio,98.45123482628715,98.68971285196542
kbaa-p038:dist_char,100,85
kbaa-p038:doc_len,3613,3613
kbaa-p038:cer_pct,2.7677830058123445,2.352615554940493
kbaa-p038:wer_pct,11.900532859680284,9.41385435168739
kbaa-p038:token_sort_ratio,93.39746392654132,93.5629835060575
kbaa-p012:dist_char,46,40
kbaa-p012:doc_len,3755,3755
kbaa-p012:cer_pct,1.2250332889480693,1.0652463382157125
kbaa-p012:wer_pct,1.675041876046901,2.680067001675042
kbaa-p012:token_sort_ratio,99.37089333146932,99.26152988713947
kbaa-p006:dist_char,66,39
kbaa-p006:doc_len,3693,3693
kbaa-p006:cer_pct,1.7871649065800164,1.0560519902518277
kbaa-p006:wer_pct,2.5728987993138936,3.0874785591766725
kbaa-p006:token_sort_ratio,99.75814482856737,98.80068532267275
kbaa-p007:dist_char,254,21
kbaa-p007:doc_len,3637,3637
kbaa-p007:cer_pct,6.983777838878197,0.577398955182843
kbaa-p007:wer_pct,10.750853242320819,1.1945392491467577
kbaa-p007:token_sort_ratio,98.48243965891025,99.59607616849394
kbaa-p060:dist_char,282,81
kbaa-p060:doc_len,3610,3610
kbaa-p060:cer_pct,7.81163434903047,2.2437673130193905
kbaa-p060:wer_pct,12.289562289562289,4.040404040404041
kbaa-p060:token_sort_ratio,99.43649761595145,98.71570344424985
kbaa-p048:dist_char,286,72
kbaa-p048:doc_len,3639,3639
kbaa-p048:cer_pct,7.859302006045617,1.9785655399835118
kbaa-p048:wer_pct,11.170212765957446,4.609929078014184
kbaa-p048:token_sort_ratio,97.8986758779505,99.00619328820395
kbaa-p100:dist_char,165,303
kbaa-p100:doc_len,3854,3854
kbaa-p100:cer_pct,4.281266216917488,7.861961598339387
kbaa-p100:wer_pct,5.709624796084829,9.624796084828711
kbaa-p100:token_sort_ratio,97.64430362308858,98.32993890020366
kbaa-p114:dist_char,56,59
kbaa-p114:doc_len,3551,3551
kbaa-p114:cer_pct,1.5770205575894116,1.6615038017459869
kbaa-p114:wer_pct,2.2413793103448274,3.793103448275862
kbaa-p114:token_sort_ratio,99.36116476006536,98.66111276405832
kbaa-p115:dist_char,61,61
kbaa-p115:doc_len,3709,3709
kbaa-p115:cer_pct,1.6446481531410084,1.6446481531410084
kbaa-p115:wer_pct,2.555366269165247,3.0664395229982966
kbaa-p115:token_sort_ratio,98.93842887473461,98.45892831895942
kbaa-p101:dist_char,60,374
kbaa-p101:doc_len,3788,3788
kbaa-p101:cer_pct,1.583949313621964,9.873284054910243
kbaa-p101:wer_pct,3.494176372712146,13.643926788685523
kbaa-p101:token_sort_ratio,99.25311203319502,96.80732926152137
kbaa-p049:dist_char,277,39
kbaa-p049:doc_len,3765,3765
kbaa-p049:cer_pct,7.3572377158034525,1.0358565737051793
kbaa-p049:wer_pct,14.45578231292517,4.421768707482993
kbaa-p049:token_sort_ratio,98.52107809260538,99.41828254847645
kbaa-p061:dist_char,15,63
kbaa-p061:doc_len,3633,3633
kbaa-p061:cer_pct,0.41288191577208916,1.7341040462427744
kbaa-p061:wer_pct,3.2367972742759794,3.577512776831346
kbaa-p061:token_sort_ratio,99.67015631722359,98.97502526346182
kbaa-p063:dist_char,10,17
kbaa-p063:doc_len,3638,3638
kbaa-p063:cer_pct,0.2748763056624519,0.46728971962616817
kbaa-p063:wer_pct,1.9332161687170473,2.2847100175746924
kbaa-p063:token_sort_ratio,99.18466599914176,99.12695005009303
kbaa-p062:dist_char,23,43
kbaa-p062:doc_len,3692,3692
kbaa-p062:cer_pct,0.6229685807150596,1.1646803900325027
kbaa-p062:wer_pct,3.904923599320883,5.093378607809847
kbaa-p062:token_sort_ratio,99.50516046939065,98.9778534923339
kbaa-p066:dist_char,316,24
kbaa-p066:doc_len,3568,3568
kbaa-p066:cer_pct,8.856502242152468,0.672645739910314
kbaa-p066:wer_pct,17.2972972972973,4.504504504504505
kbaa-p066:token_sort_ratio,98.26505321475435,99.41520467836258
kbaa-p072:dist_char,342,81
kbaa-p072:doc_len,3558,3558
kbaa-p072:cer_pct,9.612141652613827,2.2765598650927488
kbaa-p072:wer_pct,10.975609756097562,3.8327526132404177
kbaa-p072:token_sort_ratio,98.33916083916084,98.54945054945054
kbaa-p106:dist_char,150,57
kbaa-p106:doc_len,3754,3754
kbaa-p106:cer_pct,3.9957378795950986,1.5183803942461374
kbaa-p106:wer_pct,8.532423208191126,6.143344709897611
kbaa-p106:token_sort_ratio,96.5749578888265,98.43120921838123
kbaa-p107:dist_char,108,99
kbaa-p107:doc_len,3602,3602
kbaa-p107:cer_pct,2.9983342587451416,2.7484730705163796
kbaa-p107:wer_pct,10.175438596491228,5.263157894736842
kbaa-p107:token_sort_ratio,98.5456660849331,98.17331579716499
kbaa-p113:dist_char,39,47
kbaa-p113:doc_len,3690,3690
kbaa-p113:cer_pct,1.056910569105691,1.2737127371273713
kbaa-p113:wer_pct,3.620689655172414,3.793103448275862
kbaa-p113:token_sort_ratio,98.96350986795399,98.81884161092927
kbaa-p073:dist_char,27,58
kbaa-p073:doc_len,3517,3517
kbaa-p073:cer_pct,0.7676997441000852,1.6491327836224055
kbaa-p073:wer_pct,4.601769911504425,4.070796460176991
kbaa-p073:token_sort_ratio,98.82702301410542,98.54943753700415
kbaa-p067:dist_char,273,13
kbaa-p067:doc_len,3588,3588
kbaa-p067:cer_pct,7.608695652173914,0.36231884057971014
kbaa-p067:wer_pct,10.825688073394495,2.7522935779816518
kbaa-p067:token_sort_ratio,98.9795918367347,99.40224522525149
kbaa-p059:dist_char,339,48
kbaa-p059:doc_len,3675,3675
kbaa-p059:cer_pct,9.224489795918366,1.306122448979592
kbaa-p059:wer_pct,17.97945205479452,3.2534246575342465
kbaa-p059:token_sort_ratio,98.75873876444571,99.44325481798715
kbaa-p071:dist_char,330,40
kbaa-p071:doc_len,3624,3624
kbaa-p071:cer_pct,9.105960264900661,1.1037527593818985
kbaa-p071:wer_pct,14.0625,2.430555555555556
kbaa-p071:token_sort_ratio,98.65936283696122,98.87510816267667
kbaa-p065:dist_char,49,28
