,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,22,12
kbaa-p003:doc_len,2894,2894
kbaa-p003:cer_pct,0.7601935038009675,0.414651002073255
kbaa-p003:wer_pct,3.9735099337748347,1.7660044150110374
kbaa-p003:token_sort_ratio,98.47161572052401,99.67236985802694
kbaa-p004:dist_char,343,49
kbaa-p004:doc_len,3757,3757
kbaa-p004:cer_pct,9.129624700558956,1.304232100079851
kbaa-p004:wer_pct,13.930348258706468,3.9800995024875623
kbaa-p004:token_sort_ratio,97.91579241852007,98.66220735785953
kbaa-p005:dist_char,45,19
kbaa-p005:doc_len,3737,3737
kbaa-p005:cer_pct,1.2041744715012042,0.5084292213005084
kbaa-p005:wer_pct,1.5254237288135595,1.1864406779661016
kbaa-p005:token_sort_ratio,99.34109070517314,99.2594662568115
kbaa-p006:dist_char,75,43
kbaa-p006:doc_len,3693,3693
kbaa-p006:cer_pct,2.0308692120227456,1.164365014893041
kbaa-p006:wer_pct,4.1166380789022305,3.6020583190394513
kbaa-p006:token_sort_ratio,98.86640837996843,98.65829289180702
kbaa-p007:dist_char,254,21
kbaa-p007:doc_len,3637,3637
kbaa-p007:cer_pct,6.983777838878197,0.577398955182843
kbaa-p007:wer_pct,10.750853242320819,1.1945392491467577
kbaa-p007:token_sort_ratio,98.52856318522792,99.62492787074437
kbaa-p008:dist_char,316,56
kbaa-p008:doc_len,3644,3644
kbaa-p008:cer_pct,8.67178924259056,1.5367727771679474
kbaa-p008:wer_pct,12.61101243339254,3.5523978685612785
kbaa-p008:token_sort_ratio,98.60250684339432,98.96373056994818
kbaa-p009:dist_char,287,22
kbaa-p009:doc_len,3680,3680
kbaa-p009:cer_pct,7.79891304347826,0.5978260869565217
kbaa-p009:wer_pct,8.29103214890017,1.1844331641285957
kbaa-p009:token_sort_ratio,99.87159366528748,99.54220314735336
kbaa-p010:dist_char,311,314
kbaa-p010:doc_len,3636,3636
kbaa-p010:cer_pct,8.553355335533555,8.635863586358635
kbaa-p010:wer_pct,11.013986013986015,9.965034965034965
kbaa-p010:token_sort_ratio,99.09182643794148,99.24985574148874
kbaa-p011:dist_char,64,30
kbaa-p011:doc_len,3658,3658
