,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,6,8
kbaa-p003:doc_len,2584,2584
kbaa-p003:cer_pct,0.23219814241486067,0.30959752321981426
kbaa-p003:wer_pct,0.4273504273504274,0.641025641025641
kbaa-p003:token_sort_ratio,99.88376598217745,99.84514130855594
kbaa-p039:dist_char,88,19
kbaa-p039:doc_len,3130,3130
kbaa-p039:cer_pct,2.8115015974440896,0.6070287539936102
kbaa-p039:wer_pct,2.5925925925925926,0.9259259259259258
kbaa-p039:token_sort_ratio,98.54227405247813,99.63158737786321
kbaa-p005:dist_char,39,16
kbaa-p005:doc_len,3408,3408
kbaa-p005:cer_pct,1.1443661971830987,0.4694835680751174
kbaa-p005:wer_pct,0.9933774834437087,0.6622516556291391
kbaa-p005:token_sort_ratio,99.42452412571934,99.76470588235294
kbaa-p011:dist_char,119,20
kbaa-p011:doc_len,3290,3290
kbaa-p011:cer_pct,3.6170212765957444,0.60790273556231
kbaa-p011:wer_pct,4.647435897435898,0.8012820512820512
kbaa-p011:token_sort_ratio,99.95442807230745,99.67992684042066
kbaa-p010:dist_char,208,51
kbaa-p010:doc_len,3294,3294
kbaa-p010:cer_pct,6.314511232544019,1.5482695810564664
kbaa-p010:wer_pct,8.333333333333332,1.0204081632653061
kbaa-p010:token_sort_ratio,99.7268588770865,99.92406985573272
kbaa-p004:dist_char,153,31
kbaa-p004:doc_len,3400,3400
kbaa-p004:cer_pct,4.5,0.9117647058823529
kbaa-p004:wer_pct,8.94308943089431,1.6260162601626018
kbaa-p004:token_sort_ratio,98.6851824494017,99.39483394833948
kbaa-p038:dist_char,50,36
kbaa-p038:doc_len,3265,3265
kbaa-p038:cer_pct,1.5313935681470139,1.1026033690658499
kbaa-p038:wer_pct,1.9197207678883073,1.7452006980802792
kbaa-p038:token_sort_ratio,98.99737775721117,99.19975377039088
kbaa-p012:dist_char,40,34
kbaa-p012:doc_len,3433,3433
kbaa-p012:cer_pct,1.1651616661811826,0.9903874162540053
kbaa-p012:wer_pct,0.8130081300813009,1.6260162601626018
kbaa-p012:token_sort_ratio,99.41400527395253,99.32827102803739
kbaa-p006:dist_char,50,29
kbaa-p006:doc_len,3319,3319
kbaa-p006:cer_pct,1.5064778547755346,0.8737571557698103
kbaa-p006:wer_pct,1.1725293132328307,1.340033500837521
kbaa-p006:token_sort_ratio,99.96986136226641,99.31972789115646
kbaa-p007:dist_char,155,17
kbaa-p007:doc_len,3294,3294
kbaa-p007:cer_pct,4.705525197328476,0.5160898603521554
kbaa-p007:wer_pct,8.053691275167784,0.6711409395973155
kbaa-p007:token_sort_ratio,99.10047263302333,99.72611077297626
kbaa-p060:dist_char,211,51
kbaa-p060:doc_len,3290,3290
kbaa-p060:cer_pct,6.4133738601823715,1.5501519756838906
kbaa-p060:wer_pct,7.425742574257425,1.9801980198019802
kbaa-p060:token_sort_ratio,99.0659929566682,99.0659929566682
kbaa-p048:dist_char,72,40
kbaa-p048:doc_len,3305,3305
kbaa-p048:cer_pct,2.178517397881997,1.2102874432677762
kbaa-p048:wer_pct,2.430555555555556,1.7361111111111112
kbaa-p048:token_sort_ratio,99.81845688350984,99.23989054423838
kbaa-p100:dist_char,143,225
kbaa-p100:doc_len,3508,3508
kbaa-p100:cer_pct,4.076396807297606,6.413911060433295
kbaa-p100:wer_pct,3.6682615629984054,8.133971291866029
kbaa-p100:token_sort_ratio,97.73584905660377,98.4131522516083
kbaa-p114:dist_char,45,23
kbaa-p114:doc_len,3191,3191
kbaa-p114:cer_pct,1.4102162331557504,0.7207771858351614
kbaa-p114:wer_pct,1.1844331641285957,0.8460236886632826
kbaa-p114:token_sort_ratio,99.44907917519282,99.54509803921569
kbaa-p115:dist_char,53,45
kbaa-p115:doc_len,3382,3382
kbaa-p115:cer_pct,1.5671200473092846,1.3305736250739209
kbaa-p115:wer_pct,1.6528925619834711,0.9917355371900827
kbaa-p115:token_sort_ratio,99.10634495084896,99.31547619047619
kbaa-p101:dist_char,49,270
kbaa-p101:doc_len,3419,3419
kbaa-p101:cer_pct,1.4331675928634104,7.8970459198596075
kbaa-p101:wer_pct,1.6233766233766231,11.688311688311687
kbaa-p101:token_sort_ratio,99.42940746159474,97.00176366843034
kbaa-p049:dist_char,173,20
kbaa-p049:doc_len,3443,3443
kbaa-p049:cer_pct,5.024687772291606,0.5808887598024978
kbaa-p049:wer_pct,7.333333333333333,0.8333333333333334
kbaa-p049:token_sort_ratio,99.66603746188471,99.67967384973791
kbaa-p061:dist_char,237,32
kbaa-p061:doc_len,3290,3290
kbaa-p061:cer_pct,7.203647416413374,0.9726443768996961
kbaa-p061:wer_pct,8.375209380234507,1.507537688442211
kbaa-p061:token_sort_ratio,99.81773997569866,99.45088468578402
kbaa-p063:dist_char,32,39
kbaa-p063:doc_len,3360,3360
kbaa-p063:cer_pct,0.9523809523809524,1.1607142857142858
kbaa-p063:wer_pct,0.6861063464837049,1.5437392795883362
kbaa-p063:token_sort_ratio,99.52153110047847,99.05759162303664
kbaa-p062:dist_char,42,24
kbaa-p062:doc_len,3347,3347
kbaa-p062:cer_pct,1.2548550941141319,0.717060053779504
kbaa-p062:wer_pct,1.1686143572621035,0.8347245409015025
kbaa-p062:token_sort_ratio,99.95516365266776,99.64017991004498
kbaa-p066:dist_char,206,37
kbaa-p066:doc_len,3278,3278
kbaa-p066:cer_pct,6.284319707138499,1.1287370347773031
kbaa-p066:wer_pct,8.37696335078534,1.0471204188481675
kbaa-p066:token_sort_ratio,99.20489296636086,99.43260236160098
kbaa-p072:dist_char,247,81
kbaa-p072:doc_len,3283,3283
kbaa-p072:cer_pct,7.523606457508376,2.4672555589399936
kbaa-p072:wer_pct,8.488964346349745,2.5466893039049237
kbaa-p072:token_sort_ratio,98.98377066585773,98.72262773722628
kbaa-p106:dist_char,103,94
kbaa-p106:doc_len,3430,3430
kbaa-p106:cer_pct,3.002915451895044,2.740524781341108
kbaa-p106:wer_pct,4.1806020066889635,2.508361204013378
kbaa-p106:token_sort_ratio,97.97247299097232,99.16410030796304
kbaa-p107:dist_char,54,27
kbaa-p107:doc_len,3283,3283
kbaa-p107:cer_pct,1.6448370392933294,0.8224185196466647
kbaa-p107:wer_pct,1.384083044982699,1.2110726643598615
kbaa-p107:token_sort_ratio,99.32536031892057,99.58747135217723
kbaa-p113:dist_char,21,26
kbaa-p113:doc_len,3335,3335
kbaa-p113:cer_pct,0.6296851574212894,0.7796101949025487
kbaa-p113:wer_pct,0.5033557046979865,0.6711409395973155
kbaa-p113:token_sort_ratio,99.68416303203489,99.60866947621915
kbaa-p073:dist_char,36,37
kbaa-p073:doc_len,3216,3216
kbaa-p073:cer_pct,1.1194029850746268,1.150497512437811
kbaa-p073:wer_pct,1.1986301369863013,1.36986301369863
kbaa-p073:token_sort_ratio,99.4375,99.34375
kbaa-p067:dist_char,217,35
kbaa-p067:doc_len,3295,3295
kbaa-p067:cer_pct,6.585735963581183,1.062215477996965
kbaa-p067:wer_pct,7.992895204262878,1.0657193605683837
kbaa-p067:token_sort_ratio,99.20707532784385,99.43571755375935
kbaa-p059:dist_char,41,52
kbaa-p059:doc_len,3338,3338
kbaa-p059:cer_pct,1.2282804074295985,1.5578190533253444
kbaa-p059:wer_pct,1.1608623548922055,1.4925373134328357
kbaa-p059:token_sort_ratio,99.98502321401827,99.32239120614366
kbaa-p071:dist_char,226,34
kbaa-p071:doc_len,3333,3333
kbaa-p071:cer_pct,6.780678067806781,1.02010201020102
kbaa-p071:wer_pct,8.094435075885329,1.3490725126475547
kbaa-p071:token_sort_ratio,99.06738868832731,99.27776105928378
kbaa-p065:dist_char,51,33
kbaa-p065:doc_len,3253,3253
kbaa-p065:cer_pct,1.567783584383646,1.014448201660006
kbaa-p065:wer_pct,1.215277777777778,1.0416666666666665
kbaa-p065:token_sort_ratio,99.20991479473277,99.49176035730787
kbaa-p064:dist_char,52,23
kbaa-p064:doc_len,3229,3229
kbaa-p064:cer_pct,1.610405698358625,0.712294828120161
kbaa-p064:wer_pct,1.5202702702702704,1.1824324324324325
kbaa-p064:token_sort_ratio,99.34538653366583,99.16460396039604
kbaa-p070:dist_char,49,30
kbaa-p070:doc_len,3284,3284
