,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,6,6
kbaa-p003:doc_len,2584,2584
kbaa-p003:cer_pct,0.23219814241486067,0.23219814241486067
kbaa-p003:wer_pct,0.4273504273504274,0.641025641025641
kbaa-p003:token_sort_ratio,99.88376598217745,99.8838109992254
kbaa-p039:dist_char,2271,22
kbaa-p039:doc_len,3131,3131
kbaa-p039:cer_pct,72.53273714468222,0.7026509102523155
kbaa-p039:wer_pct,87.8003696857671,0.7393715341959335
kbaa-p039:token_sort_ratio,99.85629889829156,99.6474358974359
kbaa-p005:dist_char,39,15
kbaa-p005:doc_len,3408,3408
kbaa-p005:cer_pct,1.1443661971830987,0.44014084507042256
kbaa-p005:wer_pct,0.9933774834437087,0.49668874172185434
kbaa-p005:token_sort_ratio,99.42452412571934,99.77944419938244
kbaa-p011:dist_char,119,21
kbaa-p011:doc_len,3290,3290
kbaa-p011:cer_pct,3.6170212765957444,0.6382978723404255
kbaa-p011:wer_pct,4.647435897435898,0.9615384615384616
kbaa-p011:token_sort_ratio,99.95442807230745,99.52765503580679
kbaa-p010:dist_char,208,51
kbaa-p010:doc_len,3294,3294
kbaa-p010:cer_pct,6.314511232544019,1.5482695810564664
kbaa-p010:wer_pct,8.333333333333332,1.0204081632653061
kbaa-p010:token_sort_ratio,99.7268588770865,99.92406985573272
kbaa-p004:dist_char,153,31
kbaa-p004:doc_len,3400,3400
kbaa-p004:cer_pct,4.5,0.9117647058823529
kbaa-p004:wer_pct,8.94308943089431,1.6260162601626018
kbaa-p004:token_sort_ratio,98.6851824494017,99.39483394833948
kbaa-p038:dist_char,35,36
kbaa-p038:doc_len,3265,3265
kbaa-p038:cer_pct,1.0719754977029097,1.1026033690658499
kbaa-p038:wer_pct,1.5706806282722512,1.7452006980802792
kbaa-p038:token_sort_ratio,99.2305324715297,99.07663896583564
kbaa-p012:dist_char,40,34
kbaa-p012:doc_len,3433,3433
kbaa-p012:cer_pct,1.1651616661811826,0.9903874162540053
kbaa-p012:wer_pct,0.8130081300813009,1.6260162601626018
kbaa-p012:token_sort_ratio,99.41400527395253,99.32827102803739
kbaa-p006:dist_char,50,29
kbaa-p006:doc_len,3319,3319
kbaa-p006:cer_pct,1.5064778547755346,0.8737571557698103
kbaa-p006:wer_pct,1.1725293132328307,1.340033500837521
kbaa-p006:token_sort_ratio,99.96986136226641,99.31972789115646
kbaa-p007:dist_char,155,17
kbaa-p007:doc_len,3294,3294
kbaa-p007:cer_pct,4.705525197328476,0.5160898603521554
kbaa-p007:wer_pct,8.053691275167784,0.6711409395973155
kbaa-p007:token_sort_ratio,99.10047263302333,99.72611077297626
kbaa-p060:dist_char,181,61
kbaa-p060:doc_len,3290,3290
kbaa-p060:cer_pct,5.501519756838906,1.8541033434650456
kbaa-p060:wer_pct,6.270627062706271,2.31023102310231
kbaa-p060:token_sort_ratio,99.83285215012916,98.91120993712622
kbaa-p048:dist_char,196,55
kbaa-p048:doc_len,3305,3305
kbaa-p048:cer_pct,5.930408472012102,1.6641452344931922
kbaa-p048:wer_pct,9.20138888888889,1.9097222222222223
kbaa-p048:token_sort_ratio,98.5688185140073,99.13175932977913
kbaa-p100:dist_char,143,226
kbaa-p100:doc_len,3508,3508
kbaa-p100:cer_pct,4.076396807297606,6.442417331812998
kbaa-p100:wer_pct,3.6682615629984054,8.293460925039872
kbaa-p100:token_sort_ratio,97.73584905660377,98.38456040028592
kbaa-p114:dist_char,45,46
kbaa-p114:doc_len,3191,3191
kbaa-p114:cer_pct,1.4102162331557504,1.4415543716703227
kbaa-p114:wer_pct,1.1844331641285957,1.353637901861252
kbaa-p114:token_sort_ratio,99.44907917519282,99.18032786885246
kbaa-p115:dist_char,53,45
kbaa-p115:doc_len,3382,3382
kbaa-p115:cer_pct,1.5671200473092846,1.3305736250739209
