,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,4,5
kbaa-p003:doc_len,2584,2584
kbaa-p003:cer_pct,0.15479876160990713,0.19349845201238391
kbaa-p003:wer_pct,0.2136752136752137,0.4273504273504274
kbaa-p003:token_sort_ratio,99.92254066615027,99.90315707921751
kbaa-p004:dist_char,246,30
kbaa-p004:doc_len,3400,3400
kbaa-p004:cer_pct,7.235294117647059,0.8823529411764706
kbaa-p004:wer_pct,11.869918699186991,1.6260162601626018
kbaa-p004:token_sort_ratio,98.4004739336493,99.3211334120425
kbaa-p005:dist_char,39,15
kbaa-p005:doc_len,3408,3408
kbaa-p005:cer_pct,1.1443661971830987,0.44014084507042256
kbaa-p005:wer_pct,0.9933774834437087,0.49668874172185434
kbaa-p005:token_sort_ratio,99.42452412571934,99.77944419938244
kbaa-p006:dist_char,60,30
kbaa-p006:doc_len,3319,3319
kbaa-p006:cer_pct,1.8077734257306417,0.9038867128653209
kbaa-p006:wer_pct,2.0100502512562812,1.340033500837521
kbaa-p006:token_sort_ratio,99.04269867801247,99.18379685610641
kbaa-p007:dist_char,156,17
kbaa-p007:doc_len,3294,3294
kbaa-p007:cer_pct,4.735883424408015,0.5160898603521554
kbaa-p007:wer_pct,8.221476510067115,0.6711409395973155
kbaa-p007:token_sort_ratio,98.87160719731625,99.72611077297626
kbaa-p008:dist_char,214,39
kbaa-p008:doc_len,3305,3305
kbaa-p008:cer_pct,6.475037821482601,1.1800302571860817
kbaa-p008:wer_pct,9.565217391304348,1.565217391304348
kbaa-p008:token_sort_ratio,98.85862121442702,99.37737281700835
kbaa-p009:dist_char,199,18
kbaa-p009:doc_len,3304,3304
kbaa-p009:cer_pct,6.023002421307506,0.5447941888619854
kbaa-p009:wer_pct,7.9866888519134775,0.6655574043261231
kbaa-p009:token_sort_ratio,99.894083825087,99.62069488696707
kbaa-p010:dist_char,221,225
kbaa-p010:doc_len,3294,3294
kbaa-p010:cer_pct,6.709168184578021,6.830601092896176
kbaa-p010:wer_pct,9.523809523809524,8.843537414965986
kbaa-p010:token_sort_ratio,99.2853884749886,99.33049300060864
kbaa-p011:dist_char,43,22
kbaa-p011:doc_len,3290,3290
kbaa-p011:cer_pct,1.3069908814589666,0.668693009118541
kbaa-p011:wer_pct,0.9615384615384616,1.1217948717948718
kbaa-p011:token_sort_ratio,99.34220590484932,99.52779893373953
kbaa-p012:dist_char,27,35
kbaa-p012:doc_len,3433,3433
kbaa-p012:cer_pct,0.7864841246722983,1.019516457908535
kbaa-p012:wer_pct,1.1382113821138211,1.788617886178862
kbaa-p012:token_sort_ratio,99.37162063422475,99.31356798597926
kbaa-p038:dist_char,222,36
kbaa-p038:doc_len,3265,3265
kbaa-p038:cer_pct,6.7993874425727405,1.1026033690658499
kbaa-p038:wer_pct,9.424083769633508,1.7452006980802792
kbaa-p038:token_sort_ratio,99.49425287356321,99.10741766697446
kbaa-p039:dist_char,164,20
kbaa-p039:doc_len,3130,3130
kbaa-p039:cer_pct,5.23961661341853,0.6389776357827476
kbaa-p039:wer_pct,7.962962962962964,1.1111111111111112
kbaa-p039:token_sort_ratio,99.48750800768738,99.55156950672645
kbaa-p043:dist_char,96,32
kbaa-p043:doc_len,3269,3269
kbaa-p043:cer_pct,2.9366778831446925,0.9788926277148976
kbaa-p043:wer_pct,2.6548672566371683,1.415929203539823
kbaa-p043:token_sort_ratio,98.62036893504883,99.23336399877338
kbaa-p048:dist_char,185,55
kbaa-p048:doc_len,3305,3305
kbaa-p048:cer_pct,5.597579425113464,1.6641452344931922
kbaa-p048:wer_pct,9.027777777777777,1.9097222222222223
kbaa-p048:token_sort_ratio,98.73994231061181,99.13175932977913
kbaa-p049:dist_char,164,20
kbaa-p049:doc_len,3443,3443
kbaa-p049:cer_pct,4.763287830380482,0.5808887598024978
kbaa-p049:wer_pct,7.166666666666667,0.8333333333333334
kbaa-p049:token_sort_ratio,99.50509461426492,99.67967384973791
kbaa-p058:dist_char,18,33
kbaa-p058:doc_len,3219,3219
kbaa-p058:cer_pct,0.5591798695246971,1.0251630941286114
kbaa-p058:wer_pct,0.7272727272727273,1.8181818181818181
kbaa-p058:token_sort_ratio,99.03426791277259,98.92506620968999
kbaa-p059:dist_char,215,23
kbaa-p059:doc_len,3338,3338
kbaa-p059:cer_pct,6.440982624325945,0.689035350509287
kbaa-p059:wer_pct,8.291873963515755,0.8291873963515755
kbaa-p059:token_sort_ratio,99.17429815343041,99.6546027932122
kbaa-p060:dist_char,181,31
kbaa-p060:doc_len,3290,3290
kbaa-p060:cer_pct,5.501519756838906,0.9422492401215805
kbaa-p060:wer_pct,6.270627062706271,1.155115511551155
kbaa-p060:token_sort_ratio,99.83285215012916,99.37414135246527
kbaa-p061:dist_char,3,42
kbaa-p061:doc_len,3290,3290
kbaa-p061:cer_pct,0.0911854103343465,1.276595744680851
kbaa-p061:wer_pct,0.33500837520938026,1.675041876046901
kbaa-p061:token_sort_ratio,99.95442807230745,99.29942126104173
kbaa-p062:dist_char,3,24
kbaa-p062:doc_len,3347,3347
kbaa-p062:cer_pct,0.089632506722438,0.717060053779504
kbaa-p062:wer_pct,0.1669449081803005,0.8347245409015025
kbaa-p062:token_sort_ratio,99.95516365266776,99.64017991004498
kbaa-p063:dist_char,34,32
kbaa-p063:doc_len,3360,3360
kbaa-p063:cer_pct,1.0119047619047619,0.9523809523809524
kbaa-p063:wer_pct,2.0583190394511153,0.6861063464837049
kbaa-p063:token_sort_ratio,99.77628635346755,99.52153110047847
kbaa-p064:dist_char,38,18
kbaa-p064:doc_len,3229,3229
kbaa-p064:cer_pct,1.1768349334159183,0.5574481263549086
kbaa-p064:wer_pct,1.0135135135135136,0.5067567567567568
kbaa-p064:token_sort_ratio,99.67587590677573,99.36522681529648
kbaa-p065:dist_char,271,17
kbaa-p065:doc_len,3253,3253
kbaa-p065:cer_pct,8.330771595450354,0.522594528127882
kbaa-p065:wer_pct,9.20138888888889,0.3472222222222222
kbaa-p065:token_sort_ratio,98.23960118398504,99.73801818462013
kbaa-p066:dist_char,157,37
kbaa-p066:doc_len,3278,3278
kbaa-p066:cer_pct,4.789505796217205,1.1287370347773031
