,pytesseract
kbaa-p003:dist_char,254
kbaa-p003:doc_len,2894
kbaa-p003:cer_pct,8.776779543883897
kbaa-p003:wer_pct,22.737306843267106
kbaa-p003:token_sort_ratio,93.29235219670946
kbaa-p039:dist_char,270
kbaa-p039:doc_len,3463
kbaa-p039:cer_pct,7.796708056598326
kbaa-p039:wer_pct,12.022900763358779
kbaa-p039:token_sort_ratio,97.96778563901852
kbaa-p005:dist_char,314
kbaa-p005:doc_len,3737
kbaa-p005:cer_pct,8.402461867808404
kbaa-p005:wer_pct,16.610169491525422
kbaa-p005:token_sort_ratio,94.90022172949001
kbaa-p011:dist_char,318
kbaa-p011:doc_len,3658
kbaa-p011:cer_pct,8.693275013668671
kbaa-p011:wer_pct,13.12803889789303
kbaa-p011:token_sort_ratio,97.11593375214164
kbaa-p010:dist_char,302
kbaa-p010:doc_len,3636
kbaa-p010:cer_pct,8.305830583058306
kbaa-p010:wer_pct,11.888111888111888
kbaa-p010:token_sort_ratio,98.27635736857225
kbaa-p004:dist_char,286
kbaa-p004:doc_len,3757
kbaa-p004:cer_pct,7.612456747404845
kbaa-p004:wer_pct,14.593698175787729
kbaa-p004:token_sort_ratio,96.89578713968959
kbaa-p038:dist_char,356
kbaa-p038:doc_len,3613
kbaa-p038:cer_pct,9.853307500691946
kbaa-p038:wer_pct,20.603907637655418
kbaa-p038:token_sort_ratio,93.40675264454427
kbaa-p012:dist_char,343
kbaa-p012:doc_len,3755
kbaa-p012:cer_pct,9.134487350199734
kbaa-p012:wer_pct,13.400335008375208
kbaa-p012:token_sort_ratio,97.50415973377704
kbaa-p006:dist_char,389
kbaa-p006:doc_len,3693
kbaa-p006:cer_pct,10.533441646357975
kbaa-p006:wer_pct,21.783876500857634
kbaa-p006:token_sort_ratio,93.9295316258667
kbaa-p007:dist_char,275
kbaa-p007:doc_len,3637
kbaa-p007:cer_pct,7.561176794061039
kbaa-p007:wer_pct,13.310580204778159
kbaa-p007:token_sort_ratio,97.60229720028715
kbaa-p060:dist_char,284
kbaa-p060:doc_len,3610
kbaa-p060:cer_pct,7.867036011080332
kbaa-p060:wer_pct,10.1010101010101
kbaa-p060:token_sort_ratio,99.35036812472931
kbaa-p048:dist_char,301
kbaa-p048:doc_len,3639
kbaa-p048:cer_pct,8.271503160208848
kbaa-p048:wer_pct,11.52482269503546
kbaa-p048:token_sort_ratio,98.27167547493215
kbaa-p100:dist_char,350
kbaa-p100:doc_len,3854
kbaa-p100:cer_pct,9.08147379346134
kbaa-p100:wer_pct,12.071778140293638
kbaa-p100:token_sort_ratio,98.11015118790498
kbaa-p114:dist_char,427
kbaa-p114:doc_len,3551
kbaa-p114:cer_pct,12.024781751619262
kbaa-p114:wer_pct,20.862068965517242
kbaa-p114:token_sort_ratio,95.45189504373178
kbaa-p115:dist_char,354
kbaa-p115:doc_len,3709
kbaa-p115:cer_pct,9.54435157724454
kbaa-p115:wer_pct,14.480408858603067
kbaa-p115:token_sort_ratio,97.4330200589143
kbaa-p101:dist_char,337
kbaa-p101:doc_len,3788
kbaa-p101:cer_pct,8.896515311510033
kbaa-p101:wer_pct,12.9783693843594
kbaa-p101:token_sort_ratio,97.33756380190371
kbaa-p049:dist_char,258
kbaa-p049:doc_len,3767
kbaa-p049:cer_pct,6.848951420228298
kbaa-p049:wer_pct,11.714770797962649
kbaa-p049:token_sort_ratio,98.21035242290749
kbaa-p061:dist_char,312
kbaa-p061:doc_len,3633
kbaa-p061:cer_pct,8.587943848059455
kbaa-p061:wer_pct,10.732538330494037
kbaa-p061:token_sort_ratio,99.41235488032105
kbaa-p063:dist_char,291
