,pytesseract
kbaa-p003:dist_char,251
kbaa-p003:doc_len,2894
kbaa-p003:cer_pct,8.673116793365585
kbaa-p003:wer_pct,22.958057395143488
kbaa-p003:token_sort_ratio,93.45151953690304
kbaa-p039:dist_char,262
kbaa-p039:doc_len,3464
kbaa-p039:cer_pct,7.5635103926097
kbaa-p039:wer_pct,10.476190476190476
kbaa-p039:token_sort_ratio,99.15688045769346
kbaa-p005:dist_char,328
kbaa-p005:doc_len,3737
kbaa-p005:cer_pct,8.777093925608776
kbaa-p005:wer_pct,17.627118644067796
kbaa-p005:token_sort_ratio,94.43521594684385
kbaa-p011:dist_char,316
kbaa-p011:doc_len,3658
kbaa-p011:cer_pct,8.638600328048113
kbaa-p011:wer_pct,12.965964343598054
kbaa-p011:token_sort_ratio,97.38534076296614
kbaa-p010:dist_char,298
kbaa-p010:doc_len,3636
kbaa-p010:cer_pct,8.195819581958196
kbaa-p010:wer_pct,11.363636363636363
kbaa-p010:token_sort_ratio,98.60612156919098
kbaa-p004:dist_char,290
kbaa-p004:doc_len,3757
kbaa-p004:cer_pct,7.7189246739419755
kbaa-p004:wer_pct,15.257048092868988
kbaa-p004:token_sort_ratio,96.61768782922096
kbaa-p038:dist_char,388
kbaa-p038:doc_len,3613
kbaa-p038:cer_pct,10.738998062551897
kbaa-p038:wer_pct,22.380106571936057
kbaa-p038:token_sort_ratio,92.61822376009228
kbaa-p012:dist_char,340
kbaa-p012:doc_len,3755
kbaa-p012:cer_pct,9.054593874833555
kbaa-p012:wer_pct,12.897822445561138
kbaa-p012:token_sort_ratio,97.1682398667407
kbaa-p006:dist_char,383
kbaa-p006:doc_len,3693
kbaa-p006:cer_pct,10.370972109396154
kbaa-p006:wer_pct,21.269296740994854
kbaa-p006:token_sort_ratio,94.32252583887866
kbaa-p007:dist_char,276
kbaa-p007:doc_len,3637
kbaa-p007:cer_pct,7.5886719824030795
kbaa-p007:wer_pct,13.310580204778159
kbaa-p007:token_sort_ratio,97.55957507895492
kbaa-p060:dist_char,310
kbaa-p060:doc_len,3610
kbaa-p060:cer_pct,8.587257617728532
kbaa-p060:wer_pct,12.289562289562289
kbaa-p060:token_sort_ratio,98.24813325674899
kbaa-p048:dist_char,326
kbaa-p048:doc_len,3639
kbaa-p048:cer_pct,8.958505083814234
kbaa-p048:wer_pct,14.184397163120568
kbaa-p048:token_sort_ratio,98.0548061905438
kbaa-p100:dist_char,350
kbaa-p100:doc_len,3854
kbaa-p100:cer_pct,9.08147379346134
kbaa-p100:wer_pct,11.908646003262643
kbaa-p100:token_sort_ratio,97.98784604996624
kbaa-p114:dist_char,421
kbaa-p114:doc_len,3551
kbaa-p114:cer_pct,11.855815263306111
kbaa-p114:wer_pct,20.344827586206897
kbaa-p114:token_sort_ratio,95.54939442579892
kbaa-p115:dist_char,357
kbaa-p115:doc_len,3709
kbaa-p115:cer_pct,9.625235912644918
kbaa-p115:wer_pct,14.821124361158432
kbaa-p115:token_sort_ratio,97.37764689384379
kbaa-p101:dist_char,345
kbaa-p101:doc_len,3788
kbaa-p101:cer_pct,9.107708553326294
kbaa-p101:wer_pct,13.311148086522461
kbaa-p101:token_sort_ratio,97.28313336091574
kbaa-p049:dist_char,252
kbaa-p049:doc_len,3765
kbaa-p049:cer_pct,6.693227091633466
kbaa-p049:wer_pct,11.054421768707483
kbaa-p049:token_sort_ratio,98.44416907613933
kbaa-p061:dist_char,315
kbaa-p061:doc_len,3633
kbaa-p061:cer_pct,8.670520231213873
kbaa-p061:wer_pct,10.562180579216355
kbaa-p061:token_sort_ratio,99.44118068491188
kbaa-p063:dist_char,290
kbaa-p063:doc_len,3638
kbaa-p063:cer_pct,7.971412864211105
kbaa-p063:wer_pct,11.775043936731107
kbaa-p063:token_sort_ratio,97.44318181818183
kbaa-p062:dist_char,304
kbaa-p062:doc_len,3692
kbaa-p062:cer_pct,8.234019501625136
kbaa-p062:wer_pct,12.73344651952462
kbaa-p062:token_sort_ratio,97.29196050775741
kbaa-p066:dist_char,305
kbaa-p066:doc_len,3568
kbaa-p066:cer_pct,8.548206278026905
kbaa-p066:wer_pct,15.675675675675677
kbaa-p066:token_sort_ratio,96.75174013921114
kbaa-p072:dist_char,386
kbaa-p072:doc_len,3558
kbaa-p072:cer_pct,10.848791455874087
kbaa-p072:wer_pct,16.02787456445993
kbaa-p072:token_sort_ratio,95.2422396286626
kbaa-p106:dist_char,331
kbaa-p106:doc_len,3754
kbaa-p106:cer_pct,8.81726158763985
kbaa-p106:wer_pct,13.48122866894198
kbaa-p106:token_sort_ratio,97.04990350151641
kbaa-p107:dist_char,358
kbaa-p107:doc_len,3602
kbaa-p107:cer_pct,9.938922820655192
kbaa-p107:wer_pct,14.210526315789473
kbaa-p107:token_sort_ratio,97.3019766267494
kbaa-p113:dist_char,347
kbaa-p113:doc_len,3690
kbaa-p113:cer_pct,9.40379403794038
kbaa-p113:wer_pct,12.413793103448276
kbaa-p113:token_sort_ratio,98.17409766454352
kbaa-p073:dist_char,311
kbaa-p073:doc_len,3517
kbaa-p073:cer_pct,8.842763719078759
kbaa-p073:wer_pct,13.097345132743362
kbaa-p073:token_sort_ratio,97.14621947631656
kbaa-p067:dist_char,313
kbaa-p067:doc_len,3588
kbaa-p067:cer_pct,8.723522853957636
kbaa-p067:wer_pct,16.14678899082569
kbaa-p067:token_sort_ratio,97.01795020266358
kbaa-p059:dist_char,313
kbaa-p059:doc_len,3675
