,pytesseract
kbaa-p003:dist_char,243
kbaa-p003:doc_len,2894
kbaa-p003:cer_pct,8.396682791983414
kbaa-p003:wer_pct,20.750551876379692
kbaa-p003:token_sort_ratio,93.18633652629677
kbaa-p004:dist_char,294
kbaa-p004:doc_len,3757
kbaa-p004:cer_pct,7.8253926004791055
kbaa-p004:wer_pct,15.754560530679933
kbaa-p004:token_sort_ratio,96.65098256296706
kbaa-p005:dist_char,321
kbaa-p005:doc_len,3737
kbaa-p005:cer_pct,8.58977789670859
kbaa-p005:wer_pct,17.457627118644066
kbaa-p005:token_sort_ratio,94.5600888148765
kbaa-p006:dist_char,375
kbaa-p006:doc_len,3693
kbaa-p006:cer_pct,10.154346060113728
kbaa-p006:wer_pct,19.210977701543737
kbaa-p006:token_sort_ratio,95.85162112416819
kbaa-p007:dist_char,270
kbaa-p007:doc_len,3637
kbaa-p007:cer_pct,7.423700852350838
kbaa-p007:wer_pct,12.457337883959044
kbaa-p007:token_sort_ratio,97.67308244757254
kbaa-p008:dist_char,402
kbaa-p008:doc_len,3644
kbaa-p008:cer_pct,11.031833150384193
kbaa-p008:wer_pct,20.781527531083483
kbaa-p008:token_sort_ratio,93.94977168949772
kbaa-p009:dist_char,337
kbaa-p009:doc_len,3680
kbaa-p009:cer_pct,9.157608695652174
kbaa-p009:wer_pct,16.412859560067684
kbaa-p009:token_sort_ratio,97.61295822676897
kbaa-p010:dist_char,840
kbaa-p010:doc_len,3636
kbaa-p010:cer_pct,23.1023102310231
kbaa-p010:wer_pct,26.923076923076923
kbaa-p010:token_sort_ratio,98.9800316046545
kbaa-p011:dist_char,301
kbaa-p011:doc_len,3658
kbaa-p011:cer_pct,8.228540185893932
kbaa-p011:wer_pct,12.317666126418152
kbaa-p011:token_sort_ratio,98.12776904387594
kbaa-p012:dist_char,303
kbaa-p012:doc_len,3755
kbaa-p012:cer_pct,8.06924101198402
kbaa-p012:wer_pct,10.720268006700168
kbaa-p012:token_sort_ratio,98.70815391026532
kbaa-p038:dist_char,384
kbaa-p038:doc_len,3613
kbaa-p038:cer_pct,10.628286742319402
kbaa-p038:wer_pct,23.26820603907638
kbaa-p038:token_sort_ratio,92.02365498341265
kbaa-p039:dist_char,270
kbaa-p039:doc_len,3463
kbaa-p039:cer_pct,7.796708056598326
kbaa-p039:wer_pct,11.83206106870229
kbaa-p039:token_sort_ratio,98.17853379497215
kbaa-p043:dist_char,272
kbaa-p043:doc_len,3612
kbaa-p043:cer_pct,7.530454042081949
kbaa-p043:wer_pct,12.115732368896925
kbaa-p043:token_sort_ratio,98.15508792159123
kbaa-p048:dist_char,2784
kbaa-p048:doc_len,3639
kbaa-p048:cer_pct,76.5045342126958
kbaa-p048:wer_pct,91.13475177304964
kbaa-p048:token_sort_ratio,96.1565735356687
kbaa-p049:dist_char,260
kbaa-p049:doc_len,3767
kbaa-p049:cer_pct,6.902044066896734
kbaa-p049:wer_pct,12.224108658743633
kbaa-p049:token_sort_ratio,98.21133736929004
kbaa-p058:dist_char,292
kbaa-p058:doc_len,3546
kbaa-p058:cer_pct,8.23463056965595
kbaa-p058:wer_pct,12.0817843866171
kbaa-p058:token_sort_ratio,97.22670579603815
kbaa-p059:dist_char,319
kbaa-p059:doc_len,3675
kbaa-p059:cer_pct,8.680272108843537
kbaa-p059:wer_pct,11.815068493150685
kbaa-p059:token_sort_ratio,98.0965909090909
kbaa-p060:dist_char,310
kbaa-p060:doc_len,3610
kbaa-p060:cer_pct,8.587257617728532
kbaa-p060:wer_pct,12.457912457912458
kbaa-p060:token_sort_ratio,97.93043978154643
kbaa-p061:dist_char,313
kbaa-p061:doc_len,3633
kbaa-p061:cer_pct,8.615469309110928
kbaa-p061:wer_pct,10.391822827938672
kbaa-p061:token_sort_ratio,99.49835172710334
kbaa-p062:dist_char,308
kbaa-p062:doc_len,3694
kbaa-p062:cer_pct,8.337845154304278
kbaa-p062:wer_pct,13.559322033898304
kbaa-p062:token_sort_ratio,97.06959706959707
kbaa-p063:dist_char,291
kbaa-p063:doc_len,3672
kbaa-p063:cer_pct,7.924836601307189
kbaa-p063:wer_pct,12.390924956369982
kbaa-p063:token_sort_ratio,97.96552698502403
kbaa-p064:dist_char,373
kbaa-p064:doc_len,3589
kbaa-p064:cer_pct,10.39286709389802
kbaa-p064:wer_pct,15.265866209262436
kbaa-p064:token_sort_ratio,97.22061378112333
kbaa-p065:dist_char,307
kbaa-p065:doc_len,3589
kbaa-p065:cer_pct,8.55391473948175
kbaa-p065:wer_pct,14.43661971830986
kbaa-p065:token_sort_ratio,97.20492396813903
kbaa-p066:dist_char,332
kbaa-p066:doc_len,3602
kbaa-p066:cer_pct,9.217101610216547
kbaa-p066:wer_pct,16.27906976744186
kbaa-p066:token_sort_ratio,97.34487734487735
kbaa-p067:dist_char,293
kbaa-p067:doc_len,3624
kbaa-p067:cer_pct,8.084988962472405
kbaa-p067:wer_pct,13.296903460837886
kbaa-p067:token_sort_ratio,98.15615096513973
kbaa-p068:dist_char,408
kbaa-p068:doc_len,3590
kbaa-p068:cer_pct,11.364902506963787
kbaa-p068:wer_pct,16.93121693121693
kbaa-p068:token_sort_ratio,96.18979151689432
kbaa-p069:dist_char,379
kbaa-p069:doc_len,3702
kbaa-p069:cer_pct,10.237709346299297
kbaa-p069:wer_pct,15.7439446366782
kbaa-p069:token_sort_ratio,96.33818747349075
kbaa-p070:dist_char,337
kbaa-p070:doc_len,3611
kbaa-p070:cer_pct,9.33259484907228
kbaa-p070:wer_pct,15.505226480836237
kbaa-p070:token_sort_ratio,97.03170028818444
kbaa-p071:dist_char,360
kbaa-p071:doc_len,3659
kbaa-p071:cer_pct,9.838753757857338
kbaa-p071:wer_pct,15.344827586206897
kbaa-p071:token_sort_ratio,97.31735159817352
kbaa-p072:dist_char,371
kbaa-p072:doc_len,3594
kbaa-p072:cer_pct,10.322760155815248
kbaa-p072:wer_pct,14.53287197231834
kbaa-p072:token_sort_ratio,96.98717024650425
kbaa-p073:dist_char,315
kbaa-p073:doc_len,3551
kbaa-p073:cer_pct,8.87074063644044
kbaa-p073:wer_pct,12.65377855887522
kbaa-p073:token_sort_ratio,97.58312582393438
kbaa-p096:dist_char,481
kbaa-p096:doc_len,3698
kbaa-p096:cer_pct,13.007030827474312
kbaa-p096:wer_pct,19.243986254295535
kbaa-p096:token_sort_ratio,95.61563244151841
kbaa-p100:dist_char,348
