,pytesseract
kbaa-p003:dist_char,139
kbaa-p003:doc_len,2584
kbaa-p003:cer_pct,5.379256965944272
kbaa-p003:wer_pct,16.666666666666664
kbaa-p003:token_sort_ratio,95.1167728237792
kbaa-p039:dist_char,185
kbaa-p039:doc_len,3130
kbaa-p039:cer_pct,5.9105431309904155
kbaa-p039:wer_pct,8.703703703703704
kbaa-p039:token_sort_ratio,99.4092288040875
kbaa-p005:dist_char,209
kbaa-p005:doc_len,3408
kbaa-p005:cer_pct,6.13262910798122
kbaa-p005:wer_pct,14.072847682119205
kbaa-p005:token_sort_ratio,95.26730937773883
kbaa-p011:dist_char,224
kbaa-p011:doc_len,3290
kbaa-p011:cer_pct,6.808510638297872
kbaa-p011:wer_pct,11.538461538461538
kbaa-p011:token_sort_ratio,97.33252500757806
kbaa-p010:dist_char,210
kbaa-p010:doc_len,3294
kbaa-p010:cer_pct,6.375227686703097
kbaa-p010:wer_pct,9.35374149659864
kbaa-p010:token_sort_ratio,98.66504854368931
kbaa-p004:dist_char,179
kbaa-p004:doc_len,3400
kbaa-p004:cer_pct,5.264705882352941
kbaa-p004:wer_pct,11.544715447154472
kbaa-p004:token_sort_ratio,97.85230950279494
kbaa-p038:dist_char,207
kbaa-p038:doc_len,3265
kbaa-p038:cer_pct,6.339969372128637
kbaa-p038:wer_pct,8.900523560209423
kbaa-p038:token_sort_ratio,99.27947263529052
kbaa-p012:dist_char,243
kbaa-p012:doc_len,3433
kbaa-p012:cer_pct,7.078357122050684
kbaa-p012:wer_pct,11.869918699186991
kbaa-p012:token_sort_ratio,97.61558592614132
kbaa-p006:dist_char,248
kbaa-p006:doc_len,3319
kbaa-p006:cer_pct,7.472130159686653
kbaa-p006:wer_pct,18.927973199329983
kbaa-p006:token_sort_ratio,94.31920649233544
kbaa-p007:dist_char,172
kbaa-p007:doc_len,3294
kbaa-p007:cer_pct,5.221615057680632
kbaa-p007:wer_pct,10.40268456375839
kbaa-p007:token_sort_ratio,98.07313002579275
kbaa-p060:dist_char,202
kbaa-p060:doc_len,3290
kbaa-p060:cer_pct,6.139817629179331
kbaa-p060:wer_pct,6.6006600660066
kbaa-p060:token_sort_ratio,99.84802431610942
kbaa-p048:dist_char,206
kbaa-p048:doc_len,3305
kbaa-p048:cer_pct,6.2329803328290465
kbaa-p048:wer_pct,8.506944444444445
kbaa-p048:token_sort_ratio,99.546004842615
kbaa-p100:dist_char,250
kbaa-p100:doc_len,3508
kbaa-p100:cer_pct,7.126567844925884
kbaa-p100:wer_pct,8.61244019138756
kbaa-p100:token_sort_ratio,98.90329012961116
kbaa-p114:dist_char,290
kbaa-p114:doc_len,3191
kbaa-p114:cer_pct,9.088060169225948
kbaa-p114:wer_pct,14.720812182741117
kbaa-p114:token_sort_ratio,96.60964230171074
kbaa-p115:dist_char,259
kbaa-p115:doc_len,3382
kbaa-p115:cer_pct,7.658190419869899
kbaa-p115:wer_pct,11.239669421487603
kbaa-p115:token_sort_ratio,98.01892371377883
kbaa-p101:dist_char,240
kbaa-p101:doc_len,3419
kbaa-p101:cer_pct,7.0195963732085405
kbaa-p101:wer_pct,10.38961038961039
kbaa-p101:token_sort_ratio,97.45762711864407
kbaa-p049:dist_char,169
kbaa-p049:doc_len,3443
kbaa-p049:cer_pct,4.908510020331107
kbaa-p049:wer_pct,8.5
kbaa-p049:token_sort_ratio,98.59154929577466
kbaa-p061:dist_char,225
kbaa-p061:doc_len,3290
kbaa-p061:cer_pct,6.838905775075988
kbaa-p061:wer_pct,7.705192629815745
kbaa-p061:token_sort_ratio,99.83285215012916
kbaa-p063:dist_char,206
kbaa-p063:doc_len,3360
kbaa-p063:cer_pct,6.1309523809523805
kbaa-p063:wer_pct,8.747855917667238
kbaa-p063:token_sort_ratio,98.39524517087668
kbaa-p062:dist_char,238
kbaa-p062:doc_len,3347
kbaa-p062:cer_pct,7.110845533313414
kbaa-p062:wer_pct,9.181969949916526
kbaa-p062:token_sort_ratio,98.91288160833955
kbaa-p066:dist_char,216
kbaa-p066:doc_len,3278
kbaa-p066:cer_pct,6.589383770591824
kbaa-p066:wer_pct,9.07504363001745
kbaa-p066:token_sort_ratio,99.0086929998475
kbaa-p072:dist_char,285
kbaa-p072:doc_len,3283
kbaa-p072:cer_pct,8.681084374048128
kbaa-p072:wer_pct,12.73344651952462
kbaa-p072:token_sort_ratio,96.46525679758308
kbaa-p106:dist_char,223
kbaa-p106:doc_len,3430
kbaa-p106:cer_pct,6.501457725947522
kbaa-p106:wer_pct,8.361204013377927
kbaa-p106:token_sort_ratio,98.6013986013986
kbaa-p107:dist_char,249
kbaa-p107:doc_len,3283
kbaa-p107:cer_pct,7.584526347852575
kbaa-p107:wer_pct,9.688581314878892
kbaa-p107:token_sort_ratio,98.2322462663822
kbaa-p113:dist_char,246
kbaa-p113:doc_len,3335
kbaa-p113:cer_pct,7.376311844077961
kbaa-p113:wer_pct,9.228187919463087
kbaa-p113:token_sort_ratio,98.621103117506
kbaa-p073:dist_char,227
kbaa-p073:doc_len,3216
kbaa-p073:cer_pct,7.058457711442786
kbaa-p073:wer_pct,9.58904109589041
kbaa-p073:token_sort_ratio,98.48109113453192
kbaa-p067:dist_char,210
kbaa-p067:doc_len,3295
kbaa-p067:cer_pct,6.373292867981791
kbaa-p067:wer_pct,9.236234458259325
kbaa-p067:token_sort_ratio,98.33181680315438
kbaa-p059:dist_char,229
kbaa-p059:doc_len,3338
kbaa-p059:cer_pct,6.860395446375075
kbaa-p059:wer_pct,8.45771144278607
kbaa-p059:token_sort_ratio,99.17627677100495
kbaa-p071:dist_char,251
kbaa-p071:doc_len,3333
kbaa-p071:cer_pct,7.530753075307531
kbaa-p071:wer_pct,10.792580101180437
kbaa-p071:token_sort_ratio,98.27612052166093
kbaa-p065:dist_char,202
kbaa-p065:doc_len,3253
kbaa-p065:cer_pct,6.209652628343068
kbaa-p065:wer_pct,7.986111111111111
kbaa-p065:token_sort_ratio,99.04703350753151
kbaa-p064:dist_char,253
kbaa-p064:doc_len,3229
kbaa-p064:cer_pct,7.835243109321771
kbaa-p064:wer_pct,9.797297297297296
kbaa-p064:token_sort_ratio,98.7988912842624
kbaa-p070:dist_char,266
kbaa-p070:doc_len,3284
kbaa-p070:cer_pct,8.099878197320342
kbaa-p070:wer_pct,10.95890410958904
kbaa-p070:token_sort_ratio,97.88335617481346
kbaa-p058:dist_char,239
kbaa-p058:doc_len,3219
kbaa-p058:cer_pct,7.424666045355701
kbaa-p058:wer_pct,11.090909090909092
kbaa-p058:token_sort_ratio,97.5737907587699
kbaa-p069:dist_char,266
kbaa-p069:doc_len,3359
kbaa-p069:cer_pct,7.919023518904436
kbaa-p069:wer_pct,12.690355329949238
kbaa-p069:token_sort_ratio,97.05532421177871
kbaa-p096:dist_char,332
kbaa-p096:doc_len,3388
kbaa-p096:cer_pct,9.799291617473434
kbaa-p096:wer_pct,11.20401337792642
kbaa-p096:token_sort_ratio,98.71358864409285
kbaa-p121:dist_char,244
kbaa-p121:doc_len,3352
kbaa-p121:cer_pct,7.279236276849642
kbaa-p121:wer_pct,9.983361064891847
kbaa-p121:token_sort_ratio,98.16664182441497
kbaa-p068:dist_char,297
kbaa-p068:doc_len,3242
kbaa-p068:cer_pct,9.16101172115978
kbaa-p068:wer_pct,11.876075731497417
kbaa-p068:token_sort_ratio,97.22645534897897
kbaa-p043:dist_char,183
kbaa-p043:doc_len,3269
kbaa-p043:cer_pct,5.59804221474457
kbaa-p043:wer_pct,9.026548672566372
kbaa-p043:token_sort_ratio,99.34220590484932
kbaa-p124:dist_char,236
kbaa-p124:doc_len,3350
kbaa-p124:cer_pct,7.044776119402984
kbaa-p124:wer_pct,10.286677908937605
kbaa-p124:token_sort_ratio,98.868374032162
kbaa-p119:dist_char,214
kbaa-p119:doc_len,3402
kbaa-p119:cer_pct,6.290417401528512
kbaa-p119:wer_pct,7.413509060955518
kbaa-p119:token_sort_ratio,99.33872152828802
kbaa-p009:dist_char,241
kbaa-p009:doc_len,3304
kbaa-p009:cer_pct,7.294188861985472
kbaa-p009:wer_pct,13.311148086522461
kbaa-p009:token_sort_ratio,96.87169412120296
kbaa-p008:dist_char,279
kbaa-p008:doc_len,3305
kbaa-p008:cer_pct,8.441754916792739
kbaa-p008:wer_pct,16.52173913043478
kbaa-p008:token_sort_ratio,95.08443908323281
kbaa-p151:dist_char,253
kbaa-p151:doc_len,3148
kbaa-p151:cer_pct,8.03684879288437
kbaa-p151:wer_pct,12.411347517730496
kbaa-p151:token_sort_ratio,97.61980323706759
__ALL__:dist_char,9894
__ALL__:doc_len,141889
__ALL__:cer_pct,6.97305640324479
__ALL__:wer_pct,10.579624134520277
__ALL__:token_sort_ratio,98.09458137784
