,pytesseract
kbaa-p003:dist_char,137
kbaa-p003:doc_len,2584
kbaa-p003:cer_pct,5.301857585139319
kbaa-p003:wer_pct,17.094017094017094
kbaa-p003:token_sort_ratio,95.21235521235522
kbaa-p039:dist_char,185
kbaa-p039:doc_len,3131
kbaa-p039:cer_pct,5.908655381667199
kbaa-p039:wer_pct,8.872458410351202
kbaa-p039:token_sort_ratio,99.48914431673053
kbaa-p005:dist_char,217
kbaa-p005:doc_len,3408
kbaa-p005:cer_pct,6.36737089201878
kbaa-p005:wer_pct,15.066225165562914
kbaa-p005:token_sort_ratio,95.1518691588785
kbaa-p011:dist_char,217
kbaa-p011:doc_len,3290
kbaa-p011:cer_pct,6.595744680851063
kbaa-p011:wer_pct,11.057692307692307
kbaa-p011:token_sort_ratio,97.72382397572079
kbaa-p010:dist_char,209
kbaa-p010:doc_len,3294
kbaa-p010:cer_pct,6.344869459623557
kbaa-p010:wer_pct,9.35374149659864
kbaa-p010:token_sort_ratio,98.99878640776699
kbaa-p004:dist_char,181
kbaa-p004:doc_len,3400
kbaa-p004:cer_pct,5.3235294117647065
kbaa-p004:wer_pct,12.357723577235772
kbaa-p004:token_sort_ratio,97.57388619320689
kbaa-p038:dist_char,235
kbaa-p038:doc_len,3265
kbaa-p038:cer_pct,7.197549770290965
kbaa-p038:wer_pct,11.169284467713787
kbaa-p038:token_sort_ratio,98.87057387057388
kbaa-p012:dist_char,243
kbaa-p012:doc_len,3433
kbaa-p012:cer_pct,7.078357122050684
kbaa-p012:wer_pct,11.707317073170733
kbaa-p012:token_sort_ratio,97.30909090909091
kbaa-p006:dist_char,245
kbaa-p006:doc_len,3319
kbaa-p006:cer_pct,7.38174148840012
kbaa-p006:wer_pct,18.425460636515915
kbaa-p006:token_sort_ratio,94.70358110141439
kbaa-p007:dist_char,174
kbaa-p007:doc_len,3294
kbaa-p007:cer_pct,5.2823315118397085
kbaa-p007:wer_pct,10.738255033557047
kbaa-p007:token_sort_ratio,98.05825242718447
kbaa-p060:dist_char,208
kbaa-p060:doc_len,3290
kbaa-p060:cer_pct,6.322188449848025
kbaa-p060:wer_pct,7.425742574257425
kbaa-p060:token_sort_ratio,99.54462659380692
kbaa-p048:dist_char,216
kbaa-p048:doc_len,3305
kbaa-p048:cer_pct,6.535552193645991
kbaa-p048:wer_pct,10.243055555555555
kbaa-p048:token_sort_ratio,98.80790704692923
kbaa-p100:dist_char,252
kbaa-p100:doc_len,3508
kbaa-p100:cer_pct,7.183580387685291
kbaa-p100:wer_pct,8.61244019138756
kbaa-p100:token_sort_ratio,98.74643874643874
kbaa-p114:dist_char,289
kbaa-p114:doc_len,3191
kbaa-p114:cer_pct,9.056722030711375
kbaa-p114:wer_pct,14.551607445008461
kbaa-p114:token_sort_ratio,96.59356042930472
kbaa-p115:dist_char,259
kbaa-p115:doc_len,3382
kbaa-p115:cer_pct,7.658190419869899
kbaa-p115:wer_pct,11.239669421487603
kbaa-p115:token_sort_ratio,98.01892371377883
kbaa-p101:dist_char,247
kbaa-p101:doc_len,3419
kbaa-p101:cer_pct,7.224334600760455
kbaa-p101:wer_pct,10.714285714285714
kbaa-p101:token_sort_ratio,97.45762711864407
kbaa-p049:dist_char,170
kbaa-p049:doc_len,3443
kbaa-p049:cer_pct,4.937554458321231
kbaa-p049:wer_pct,8.666666666666668
kbaa-p049:token_sort_ratio,98.6790535636522
kbaa-p061:dist_char,225
kbaa-p061:doc_len,3290
kbaa-p061:cer_pct,6.838905775075988
kbaa-p061:wer_pct,7.872696817420436
kbaa-p061:token_sort_ratio,99.83280133758929
kbaa-p063:dist_char,203
kbaa-p063:doc_len,3328
kbaa-p063:cer_pct,6.099759615384615
kbaa-p063:wer_pct,8.290155440414509
kbaa-p063:token_sort_ratio,98.29749103942652
kbaa-p062:dist_char,214
kbaa-p062:doc_len,3347
kbaa-p062:cer_pct,6.3937854795339115
kbaa-p062:wer_pct,8.848080133555927
kbaa-p062:token_sort_ratio,98.57933303424555
kbaa-p066:dist_char,204
kbaa-p066:doc_len,3246
kbaa-p066:cer_pct,6.284658040665435
kbaa-p066:wer_pct,9.13884007029877
kbaa-p066:token_sort_ratio,97.9323020370654
kbaa-p072:dist_char,287
kbaa-p072:doc_len,3249
kbaa-p072:cer_pct,8.833487226839027
kbaa-p072:wer_pct,13.162393162393164
kbaa-p072:token_sort_ratio,95.92952612393681
kbaa-p106:dist_char,222
kbaa-p106:doc_len,3430
kbaa-p106:cer_pct,6.4723032069970845
kbaa-p106:wer_pct,8.193979933110368
kbaa-p106:token_sort_ratio,98.61576570013113
kbaa-p107:dist_char,250
kbaa-p107:doc_len,3283
kbaa-p107:cer_pct,7.614986293024673
kbaa-p107:wer_pct,9.688581314878892
kbaa-p107:token_sort_ratio,98.26219512195122
kbaa-p113:dist_char,246
kbaa-p113:doc_len,3335
kbaa-p113:cer_pct,7.376311844077961
kbaa-p113:wer_pct,9.228187919463087
kbaa-p113:token_sort_ratio,98.621103117506
kbaa-p073:dist_char,221
kbaa-p073:doc_len,3184
kbaa-p073:cer_pct,6.940954773869347
kbaa-p073:wer_pct,9.482758620689655
kbaa-p073:token_sort_ratio,98.1619937694704
kbaa-p067:dist_char,208
kbaa-p067:doc_len,3261
kbaa-p067:cer_pct,6.378411530205458
kbaa-p067:wer_pct,9.30232558139535
kbaa-p067:token_sort_ratio,98.15520658636987
kbaa-p059:dist_char,230
kbaa-p059:doc_len,3338
kbaa-p059:cer_pct,6.890353505092869
kbaa-p059:wer_pct,8.623548922056385
kbaa-p059:token_sort_ratio,99.16142557651992
kbaa-p071:dist_char,243
kbaa-p071:doc_len,3300
kbaa-p071:cer_pct,7.363636363636364
kbaa-p071:wer_pct,10.526315789473683
kbaa-p071:token_sort_ratio,98.0262166641555
kbaa-p065:dist_char,202
kbaa-p065:doc_len,3219
kbaa-p065:cer_pct,6.275240757999379
kbaa-p065:wer_pct,8.041958041958042
kbaa-p065:token_sort_ratio,98.94932014833128
kbaa-p064:dist_char,290
kbaa-p064:doc_len,3187
kbaa-p064:cer_pct,9.099466582993411
kbaa-p064:wer_pct,11.623931623931623
kbaa-p064:token_sort_ratio,97.9547567400062
kbaa-p070:dist_char,229
kbaa-p070:doc_len,3243
kbaa-p070:cer_pct,7.0613629355535
kbaa-p070:wer_pct,9.499136442141623
kbaa-p070:token_sort_ratio,97.9329352319706
kbaa-p058:dist_char,218
kbaa-p058:doc_len,3219
kbaa-p058:cer_pct,6.7722895309102205
kbaa-p058:wer_pct,9.454545454545455
kbaa-p058:token_sort_ratio,98.43386571561481
kbaa-p069:dist_char,274
kbaa-p069:doc_len,3317
kbaa-p069:cer_pct,8.26047633403678
kbaa-p069:wer_pct,12.798634812286688
kbaa-p069:token_sort_ratio,96.3938351039952
kbaa-p096:dist_char,312
kbaa-p096:doc_len,3363
kbaa-p096:cer_pct,9.27743086529884
kbaa-p096:wer_pct,11.260504201680673
kbaa-p096:token_sort_ratio,98.79768442927119
kbaa-p121:dist_char,245
kbaa-p121:doc_len,3352
kbaa-p121:cer_pct,7.309069212410502
kbaa-p121:wer_pct,10.316139767054908
kbaa-p121:token_sort_ratio,98.04798092683654
kbaa-p068:dist_char,295
kbaa-p068:doc_len,3210
kbaa-p068:cer_pct,9.190031152647975
kbaa-p068:wer_pct,11.611785095320624
kbaa-p068:token_sort_ratio,97.1349777845871
kbaa-p043:dist_char,184
kbaa-p043:doc_len,3269
kbaa-p043:cer_pct,5.62863260936066
kbaa-p043:wer_pct,8.672566371681416
kbaa-p043:token_sort_ratio,99.21982560807709
kbaa-p124:dist_char,237
kbaa-p124:doc_len,3350
kbaa-p124:cer_pct,7.074626865671642
kbaa-p124:wer_pct,10.45531197301855
kbaa-p124:token_sort_ratio,98.85365490546376
kbaa-p119:dist_char,214
kbaa-p119:doc_len,3402
kbaa-p119:cer_pct,6.290417401528512
kbaa-p119:wer_pct,7.413509060955518
kbaa-p119:token_sort_ratio,99.33872152828802
kbaa-p009:dist_char,247
kbaa-p009:doc_len,3304
kbaa-p009:cer_pct,7.4757869249394675
kbaa-p009:wer_pct,13.477537437603992
kbaa-p009:token_sort_ratio,96.95048309178745
kbaa-p008:dist_char,285
kbaa-p008:doc_len,3305
kbaa-p008:cer_pct,8.623298033282904
kbaa-p008:wer_pct,16.34782608695652
kbaa-p008:token_sort_ratio,94.85748755843764
kbaa-p151:dist_char,250
kbaa-p151:doc_len,3148
kbaa-p151:cer_pct,7.941550190597205
kbaa-p151:wer_pct,12.23404255319149
kbaa-p151:token_sort_ratio,97.82436080673337
__ALL__:dist_char,9872
__ALL__:doc_len,141477
__ALL__:cer_pct,6.977812647992253
__ALL__:wer_pct,10.708055819854108
__ALL__:token_sort_ratio,97.97973391961216
