,pytesseract
kbaa-p003:dist_char,130
kbaa-p003:doc_len,2584
kbaa-p003:cer_pct,5.030959752321981
kbaa-p003:wer_pct,15.384615384615385
kbaa-p003:token_sort_ratio,95.50279868751205
kbaa-p004:dist_char,177
kbaa-p004:doc_len,3400
kbaa-p004:cer_pct,5.205882352941176
kbaa-p004:wer_pct,11.219512195121952
kbaa-p004:token_sort_ratio,97.9123787121435
kbaa-p005:dist_char,211
kbaa-p005:doc_len,3408
kbaa-p005:cer_pct,6.19131455399061
kbaa-p005:wer_pct,15.066225165562914
kbaa-p005:token_sort_ratio,94.88304093567251
kbaa-p006:dist_char,248
kbaa-p006:doc_len,3319
kbaa-p006:cer_pct,7.472130159686653
kbaa-p006:wer_pct,16.917922948073702
kbaa-p006:token_sort_ratio,95.78014716924463
kbaa-p007:dist_char,172
kbaa-p007:doc_len,3294
kbaa-p007:cer_pct,5.221615057680632
kbaa-p007:wer_pct,10.06711409395973
kbaa-p007:token_sort_ratio,98.13438495373882
kbaa-p008:dist_char,282
kbaa-p008:doc_len,3305
kbaa-p008:cer_pct,8.532526475037821
kbaa-p008:wer_pct,16.0
kbaa-p008:token_sort_ratio,95.26680735604461
kbaa-p009:dist_char,217
kbaa-p009:doc_len,3304
kbaa-p009:cer_pct,6.567796610169492
kbaa-p009:wer_pct,11.148086522462561
kbaa-p009:token_sort_ratio,98.68520477557806
kbaa-p010:dist_char,697
kbaa-p010:doc_len,3294
kbaa-p010:cer_pct,21.159684274438373
kbaa-p010:wer_pct,24.31972789115646
kbaa-p010:token_sort_ratio,99.30218446601941
kbaa-p011:dist_char,203
kbaa-p011:doc_len,3290
kbaa-p011:cer_pct,6.170212765957447
kbaa-p011:wer_pct,9.775641025641026
kbaa-p011:token_sort_ratio,98.57229647630619
kbaa-p012:dist_char,210
kbaa-p012:doc_len,3433
kbaa-p012:cer_pct,6.117098747451209
kbaa-p012:wer_pct,8.780487804878048
kbaa-p012:token_sort_ratio,99.03846153846155
kbaa-p038:dist_char,228
kbaa-p038:doc_len,3265
kbaa-p038:cer_pct,6.983154670750383
kbaa-p038:wer_pct,11.343804537521814
kbaa-p038:token_sort_ratio,98.41221374045801
kbaa-p039:dist_char,184
kbaa-p039:doc_len,3130
kbaa-p039:cer_pct,5.878594249201278
kbaa-p039:wer_pct,8.518518518518519
kbaa-p039:token_sort_ratio,99.56889669487467
kbaa-p043:dist_char,184
kbaa-p043:doc_len,3269
kbaa-p043:cer_pct,5.62863260936066
kbaa-p043:wer_pct,8.672566371681416
kbaa-p043:token_sort_ratio,99.21982560807709
kbaa-p048:dist_char,2460
kbaa-p048:doc_len,3305
kbaa-p048:cer_pct,74.43267776096822
kbaa-p048:wer_pct,89.0625
kbaa-p048:token_sort_ratio,97.69126301493888
kbaa-p049:dist_char,170
kbaa-p049:doc_len,3443
kbaa-p049:cer_pct,4.937554458321231
kbaa-p049:wer_pct,8.833333333333334
kbaa-p049:token_sort_ratio,98.65002177384235
kbaa-p058:dist_char,213
kbaa-p058:doc_len,3219
kbaa-p058:cer_pct,6.616961789375582
kbaa-p058:wer_pct,9.454545454545455
kbaa-p058:token_sort_ratio,98.30981547526748
kbaa-p059:dist_char,230
kbaa-p059:doc_len,3338
kbaa-p059:cer_pct,6.890353505092869
kbaa-p059:wer_pct,8.7893864013267
kbaa-p059:token_sort_ratio,99.04162923030849
kbaa-p060:dist_char,208
kbaa-p060:doc_len,3290
kbaa-p060:cer_pct,6.322188449848025
kbaa-p060:wer_pct,7.425742574257425
kbaa-p060:token_sort_ratio,99.54462659380692
kbaa-p061:dist_char,224
kbaa-p061:doc_len,3290
kbaa-p061:cer_pct,6.808510638297872
kbaa-p061:wer_pct,7.537688442211055
kbaa-p061:token_sort_ratio,100.0
kbaa-p062:dist_char,216
kbaa-p062:doc_len,3347
kbaa-p062:cer_pct,6.453540484015536
kbaa-p062:wer_pct,9.015025041736227
kbaa-p062:token_sort_ratio,98.50567842199641
kbaa-p063:dist_char,200
kbaa-p063:doc_len,3360
kbaa-p063:cer_pct,5.952380952380952
kbaa-p063:wer_pct,8.233276157804461
kbaa-p063:token_sort_ratio,98.87039239001189
kbaa-p064:dist_char,255
kbaa-p064:doc_len,3229
kbaa-p064:cer_pct,7.897181790027872
kbaa-p064:wer_pct,10.472972972972974
kbaa-p064:token_sort_ratio,98.58243451463791
kbaa-p065:dist_char,201
kbaa-p065:doc_len,3253
