,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,12,12
kbaa-p003:doc_len,2894,2894
kbaa-p003:cer_pct,0.414651002073255,0.414651002073255
kbaa-p003:wer_pct,2.6490066225165565,2.4282560706401766
kbaa-p003:token_sort_ratio,99.017824663514,98.99945424777151
kbaa-p039:dist_char,259,54
kbaa-p039:doc_len,3463,3463
kbaa-p039:cer_pct,7.479064395033208,1.559341611319665
kbaa-p039:wer_pct,13.16793893129771,8.206106870229007
kbaa-p039:token_sort_ratio,98.0652962515115,97.53515802207772
kbaa-p005:dist_char,228,20
kbaa-p005:doc_len,3737,3737
kbaa-p005:cer_pct,6.101150655606101,0.5351886540005352
kbaa-p005:wer_pct,10.847457627118644,1.0169491525423728
kbaa-p005:token_sort_ratio,98.00418702023727,99.21787709497207
kbaa-p011:dist_char,265,268
kbaa-p011:doc_len,3658,3658
kbaa-p011:cer_pct,7.2443958447238925,7.3264078731547295
kbaa-p011:wer_pct,8.103727714748784,8.26580226904376
kbaa-p011:token_sort_ratio,99.45417983338122,99.58351285365504
kbaa-p010:dist_char,72,73
kbaa-p010:doc_len,3636,3636
kbaa-p010:cer_pct,1.9801980198019802,2.0077007700770078
kbaa-p010:wer_pct,3.8461538461538463,2.097902097902098
kbaa-p010:token_sort_ratio,99.18115213331417,98.90972525076319
kbaa-p004:dist_char,37,30
kbaa-p004:doc_len,3757,3757
kbaa-p004:cer_pct,0.9848283204684588,0.7985094490284802
kbaa-p004:wer_pct,4.643449419568822,1.9900497512437811
kbaa-p004:token_sort_ratio,98.57241857241857,98.95470383275261
kbaa-p038:dist_char,209,87
kbaa-p038:doc_len,3613,3613
kbaa-p038:cer_pct,5.7846664821477995,2.4079712150567394
kbaa-p038:wer_pct,12.61101243339254,9.769094138543517
kbaa-p038:token_sort_ratio,93.62945645821156,93.57664233576642
kbaa-p012:dist_char,34,40
kbaa-p012:doc_len,3755,3755
kbaa-p012:cer_pct,0.9054593874833556,1.0652463382157125
kbaa-p012:wer_pct,2.3450586264656614,4.0201005025125625
kbaa-p012:token_sort_ratio,99.19129949804797,98.8845510317903
kbaa-p006:dist_char,47,49
kbaa-p006:doc_len,3693,3693
kbaa-p006:cer_pct,1.272678039534254,1.3268345518548605
kbaa-p006:wer_pct,2.0583190394511153,4.802744425385934
kbaa-p006:token_sort_ratio,99.3277070519239,99.48615472452184
kbaa-p007:dist_char,18,26
kbaa-p007:doc_len,3637,3637
kbaa-p007:cer_pct,0.4949133901567226,0.7148748968930437
kbaa-p007:wer_pct,0.6825938566552902,2.3890784982935154
kbaa-p007:token_sort_ratio,99.66815755302265,99.62481962481962
kbaa-p060:dist_char,306,73
kbaa-p060:doc_len,3610,3610
kbaa-p060:cer_pct,8.476454293628809,2.0221606648199444
kbaa-p060:wer_pct,9.090909090909092,5.387205387205387
kbaa-p060:token_sort_ratio,98.90782000873743,98.90782000873743
kbaa-p048:dist_char,45,91
kbaa-p048:doc_len,3639,3639
kbaa-p048:cer_pct,1.2366034624896949,2.5006870019236054
kbaa-p048:wer_pct,2.8368794326241136,5.141843971631205
kbaa-p048:token_sort_ratio,98.85057471264368,99.2560801144492
kbaa-p100:dist_char,76,99
kbaa-p100:doc_len,3854,3854
kbaa-p100:cer_pct,1.9719771665801764,2.568759730150493
kbaa-p100:wer_pct,3.7520391517128875,4.241435562805873
kbaa-p100:token_sort_ratio,98.2308111050626,98.8773163803598
kbaa-p114:dist_char,51,124
kbaa-p114:doc_len,3551,3551
kbaa-p114:cer_pct,1.4362151506617853,3.491974091805125
kbaa-p114:wer_pct,4.137931034482759,5.172413793103448
kbaa-p114:token_sort_ratio,99.12345862427574,98.13925570228092
kbaa-p115:dist_char,315,54
kbaa-p115:doc_len,3709,3709
kbaa-p115:cer_pct,8.492855217039633,1.4559180372067941
kbaa-p115:wer_pct,10.391822827938672,2.2146507666098807
kbaa-p115:token_sort_ratio,97.64224198785824,99.17986425339367
kbaa-p101:dist_char,323,59
kbaa-p101:doc_len,3788,3788
kbaa-p101:cer_pct,8.526927138331573,1.5575501583949314
kbaa-p101:wer_pct,11.980033277870216,3.3277870216306153
kbaa-p101:token_sort_ratio,97.4465148378192,98.78948100737442
kbaa-p049:dist_char,269,38
kbaa-p049:doc_len,3767,3767
kbaa-p049:cer_pct,7.140960976904699,1.008760286700292
kbaa-p049:wer_pct,12.903225806451612,3.904923599320883
kbaa-p049:token_sort_ratio,98.52107809260538,99.44582986977002
kbaa-p061:dist_char,61,48
kbaa-p061:doc_len,3633,3633
kbaa-p061:cer_pct,1.6790531241398294,1.3212221304706853
kbaa-p061:wer_pct,3.577512776831346,4.429301533219761
kbaa-p061:token_sort_ratio,99.01790872328135,99.25093632958801
kbaa-p063:dist_char,26,41
kbaa-p063:doc_len,3672,3672
kbaa-p063:cer_pct,0.7080610021786492,1.1165577342047932
kbaa-p063:wer_pct,2.2687609075043627,1.9197207678883073
kbaa-p063:token_sort_ratio,99.11956830445897,98.86104783599089
kbaa-p062:dist_char,46,45
kbaa-p062:doc_len,3694,3694
kbaa-p062:cer_pct,1.245262587980509,1.2181916621548459
kbaa-p062:wer_pct,5.2542372881355925,5.084745762711865
kbaa-p062:token_sort_ratio,98.9213738291229,99.09168322452456
kbaa-p066:dist_char,315,58
kbaa-p066:doc_len,3602,3602
kbaa-p066:cer_pct,8.745141588006664,1.6102165463631315
kbaa-p066:wer_pct,12.880143112701253,5.008944543828265
kbaa-p066:token_sort_ratio,98.09565343799972,98.47272727272727
kbaa-p072:dist_char,359,86
kbaa-p072:doc_len,3594,3594
kbaa-p072:cer_pct,9.988870339454646,2.392877017250974
kbaa-p072:wer_pct,11.072664359861593,5.88235294117647
kbaa-p072:token_sort_ratio,98.2272595175821,98.4927536231884
kbaa-p106:dist_char,43,66
kbaa-p106:doc_len,3754,3754
kbaa-p106:cer_pct,1.1454448588172617,1.7581246670218436
kbaa-p106:wer_pct,3.4129692832764507,3.583617747440273
kbaa-p106:token_sort_ratio,98.73663751214772,98.45339278249965
kbaa-p107:dist_char,324,91
kbaa-p107:doc_len,3602,3602
kbaa-p107:cer_pct,8.995002776235426,2.526374236535258
kbaa-p107:wer_pct,10.87719298245614,4.2105263157894735
kbaa-p107:token_sort_ratio,98.82998699985556,98.39181286549707
kbaa-p113:dist_char,61,25
kbaa-p113:doc_len,3690,3690
kbaa-p113:cer_pct,1.6531165311653118,0.6775067750677507
kbaa-p113:wer_pct,2.2413793103448274,1.206896551724138
kbaa-p113:token_sort_ratio,99.34416880524665,99.63036678987774
kbaa-p073:dist_char,334,54
kbaa-p073:doc_len,3551,3551
kbaa-p073:cer_pct,9.405801182765417,1.520698394818361
kbaa-p073:wer_pct,11.775043936731107,4.21792618629174
kbaa-p073:token_sort_ratio,98.56304985337243,98.7139689578714
kbaa-p067:dist_char,286,33
kbaa-p067:doc_len,3624,3624
kbaa-p067:cer_pct,7.891832229580574,0.9105960264900662
kbaa-p067:wer_pct,10.200364298724955,3.642987249544627
kbaa-p067:token_sort_ratio,98.8718542088516,99.05974251410386
kbaa-p059:dist_char,305,115
kbaa-p059:doc_len,3675,3675
kbaa-p059:cer_pct,8.299319727891156,3.1292517006802725
kbaa-p059:wer_pct,10.95890410958904,5.47945205479452
kbaa-p059:token_sort_ratio,98.95848195177629,98.31095712429622
kbaa-p071:dist_char,317,51
kbaa-p071:doc_len,3659,3659
kbaa-p071:cer_pct,8.663569281224378,1.3938234490297896
kbaa-p071:wer_pct,9.655172413793103,3.103448275862069
kbaa-p071:token_sort_ratio,98.38987924094307,98.38987924094307
kbaa-p065:dist_char,77,55
kbaa-p065:doc_len,3589,3589
kbaa-p065:cer_pct,2.145444413485651,1.5324602953468933
kbaa-p065:wer_pct,5.28169014084507,4.753521126760563
kbaa-p065:token_sort_ratio,97.70367120081907,99.03762029746281
kbaa-p064:dist_char,335,61
kbaa-p064:doc_len,3589,3589
kbaa-p064:cer_pct,9.334076344385622,1.6996377821120088
kbaa-p064:wer_pct,10.4631217838765,3.430531732418525
kbaa-p064:token_sort_ratio,98.63292611983712,98.64944216089255
kbaa-p070:dist_char,310,132
kbaa-p070:doc_len,3611,3611
kbaa-p070:cer_pct,8.584879534754917,3.655497092218222
kbaa-p070:wer_pct,10.627177700348431,6.620209059233449
kbaa-p070:token_sort_ratio,97.87605469886529,97.47504403992954
