,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,11,14
kbaa-p003:doc_len,2894,2894
kbaa-p003:cer_pct,0.38009675190048375,0.48375950241879756
kbaa-p003:wer_pct,2.869757174392936,2.869757174392936
kbaa-p003:token_sort_ratio,99.017824663514,98.99945424777151
kbaa-p039:dist_char,271,37
kbaa-p039:doc_len,3464,3464
kbaa-p039:cer_pct,7.8233256351039255,1.0681293302540416
kbaa-p039:wer_pct,12.0,4.9523809523809526
kbaa-p039:token_sort_ratio,99.18625678119349,98.63925007559722
kbaa-p005:dist_char,217,22
kbaa-p005:doc_len,3737,3737
kbaa-p005:cer_pct,5.806796895905807,0.5887075194005887
kbaa-p005:wer_pct,9.152542372881356,1.3559322033898304
kbaa-p005:token_sort_ratio,98.36706210746685,99.21787709497207
kbaa-p011:dist_char,272,245
kbaa-p011:doc_len,3658,3658
kbaa-p011:cer_pct,7.435757244395845,6.697648988518316
kbaa-p011:wer_pct,9.238249594813615,7.779578606158834
kbaa-p011:token_sort_ratio,99.16786226685797,99.54049396898334
kbaa-p010:dist_char,48,77
kbaa-p010:doc_len,3636,3636
kbaa-p010:cer_pct,1.3201320132013201,2.1177117711771176
kbaa-p010:wer_pct,1.5734265734265735,2.972027972027972
kbaa-p010:token_sort_ratio,99.26140477914555,98.90972525076319
kbaa-p004:dist_char,222,33
kbaa-p004:doc_len,3757,3757
kbaa-p004:cer_pct,5.908969922810754,0.8783603939313283
kbaa-p004:wer_pct,8.7893864013267,2.4875621890547266
kbaa-p004:token_sort_ratio,98.74651810584957,98.94091415830546
kbaa-p038:dist_char,203,95
kbaa-p038:doc_len,3613,3613
kbaa-p038:cer_pct,5.618599501799059,2.629393855521727
kbaa-p038:wer_pct,12.433392539964476,8.52575488454707
kbaa-p038:token_sort_ratio,93.72262773722628,93.53233830845771
kbaa-p012:dist_char,50,49
kbaa-p012:doc_len,3755,3755
kbaa-p012:cer_pct,1.3315579227696404,1.3049267643142477
kbaa-p012:wer_pct,2.680067001675042,6.365159128978225
kbaa-p012:token_sort_ratio,98.96590273896031,98.8845510317903
kbaa-p006:dist_char,44,50
kbaa-p006:doc_len,3693,3693
kbaa-p006:cer_pct,1.1914432710533442,1.353912808015164
kbaa-p006:wer_pct,1.8867924528301887,4.802744425385934
kbaa-p006:token_sort_ratio,99.3277070519239,99.48615472452184
kbaa-p007:dist_char,19,25
kbaa-p007:doc_len,3637,3637
kbaa-p007:cer_pct,0.5224085784987627,0.6873797085510036
kbaa-p007:wer_pct,0.8532423208191127,2.3890784982935154
kbaa-p007:token_sort_ratio,99.65377957299481,99.6394057406606
kbaa-p060:dist_char,308,64
kbaa-p060:doc_len,3610,3610
kbaa-p060:cer_pct,8.53185595567867,1.772853185595568
kbaa-p060:wer_pct,9.932659932659933,2.6936026936026933
kbaa-p060:token_sort_ratio,98.9222254587824,99.02431920780545
kbaa-p048:dist_char,56,87
kbaa-p048:doc_len,3639,3639
kbaa-p048:cer_pct,1.5388843088760649,2.390766694146744
kbaa-p048:wer_pct,2.4822695035460995,4.609929078014184
kbaa-p048:token_sort_ratio,99.1647465437788,99.8140466313832
kbaa-p100:dist_char,77,173
kbaa-p100:doc_len,3854,3854
kbaa-p100:cer_pct,1.9979242345614945,4.4888427607680335
kbaa-p100:wer_pct,4.078303425774878,6.525285481239804
kbaa-p100:token_sort_ratio,98.2308111050626,97.1200220476781
kbaa-p114:dist_char,42,116
kbaa-p114:doc_len,3551,3551
