,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,9,13
kbaa-p003:doc_len,2894,2894
kbaa-p003:cer_pct,0.31098825155494125,0.44920525224602625
kbaa-p003:wer_pct,1.9867549668874174,2.4282560706401766
kbaa-p003:token_sort_ratio,99.017824663514,98.99945424777151
kbaa-p004:dist_char,94,31
kbaa-p004:doc_len,3757,3757
kbaa-p004:cer_pct,2.5019962736225714,0.8251264306627629
kbaa-p004:wer_pct,4.311774461028192,2.155887230514096
kbaa-p004:token_sort_ratio,97.85744293516314,98.94091415830546
kbaa-p005:dist_char,221,41
kbaa-p005:doc_len,3737,3737
kbaa-p005:cer_pct,5.913834626705914,1.097136740701097
kbaa-p005:wer_pct,10.0,2.0338983050847457
kbaa-p005:token_sort_ratio,98.39542346867589,99.187675070028
kbaa-p006:dist_char,43,60
kbaa-p006:doc_len,3693,3693
kbaa-p006:cer_pct,1.164365014893041,1.6246953696181965
kbaa-p006:wer_pct,1.8867924528301887,5.4888507718696395
kbaa-p006:token_sort_ratio,99.38492347303676,99.21462230472655
kbaa-p007:dist_char,31,26
kbaa-p007:doc_len,3637,3637
kbaa-p007:cer_pct,0.8523508386032445,0.7148748968930437
kbaa-p007:wer_pct,2.901023890784983,2.3890784982935154
kbaa-p007:token_sort_ratio,99.19238534756273,99.62481962481962
kbaa-p008:dist_char,313,59
kbaa-p008:doc_len,3644,3644
kbaa-p008:cer_pct,8.589462129527991,1.6190998902305158
kbaa-p008:wer_pct,12.078152753108348,4.262877442273535
kbaa-p008:token_sort_ratio,97.50540735400143,98.74513197749893
kbaa-p009:dist_char,276,24
kbaa-p009:doc_len,3680,3680
kbaa-p009:cer_pct,7.5,0.6521739130434783
kbaa-p009:wer_pct,8.629441624365482,1.353637901861252
kbaa-p009:token_sort_ratio,99.52796452581892,99.65665236051503
kbaa-p010:dist_char,91,106
kbaa-p010:doc_len,3636,3636
kbaa-p010:cer_pct,2.502750275027503,2.915291529152915
kbaa-p010:wer_pct,2.797202797202797,6.118881118881119
kbaa-p010:token_sort_ratio,98.64530225782957,98.44091505172665
kbaa-p011:dist_char,273,33
kbaa-p011:doc_len,3658,3658
kbaa-p011:cer_pct,7.463094587206124,0.9021323127392018
kbaa-p011:wer_pct,9.40032414910859,2.2690437601296596
kbaa-p011:token_sort_ratio,99.13916786226686,99.58351285365504
kbaa-p012:dist_char,50,40
kbaa-p012:doc_len,3755,3755
kbaa-p012:cer_pct,1.3315579227696404,1.0652463382157125
kbaa-p012:wer_pct,2.680067001675042,4.0201005025125625
kbaa-p012:token_sort_ratio,98.96590273896031,98.8845510317903
kbaa-p038:dist_char,328,86
kbaa-p038:doc_len,3613,3613
kbaa-p038:cer_pct,9.078328259064488,2.380293384998616
kbaa-p038:wer_pct,16.873889875666073,9.41385435168739
kbaa-p038:token_sort_ratio,93.47540505035761,93.57664233576642
kbaa-p039:dist_char,230,39
kbaa-p039:doc_len,3463,3463
kbaa-p039:cer_pct,6.641640196361537,1.1261911637308692
kbaa-p039:wer_pct,11.450381679389313,5.534351145038168
kbaa-p039:token_sort_ratio,98.32250264470304,98.74489641615001
kbaa-p043:dist_char,267,71
kbaa-p043:doc_len,3612,3612
kbaa-p043:cer_pct,7.392026578073089,1.9656699889258027
kbaa-p043:wer_pct,10.849909584086799,4.520795660036167
kbaa-p043:token_sort_ratio,98.36587129428777,98.15165187017901
kbaa-p048:dist_char,212,62
kbaa-p048:doc_len,3639,3639
kbaa-p048:cer_pct,5.825776312173674,1.7037647705413574
kbaa-p048:wer_pct,6.382978723404255,5.673758865248227
kbaa-p048:token_sort_ratio,99.06407487401007,98.56197871728502
kbaa-p049:dist_char,258,38
kbaa-p049:doc_len,3767,3767
kbaa-p049:cer_pct,6.848951420228298,1.008760286700292
kbaa-p049:wer_pct,11.03565365025467,3.904923599320883
kbaa-p049:token_sort_ratio,99.16920520631403,99.44582986977002
kbaa-p058:dist_char,314,99
kbaa-p058:doc_len,3546,3546
