,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,2,2
kbaa-p003:doc_len,2584,2584
kbaa-p003:cer_pct,0.07739938080495357,0.07739938080495357
kbaa-p003:wer_pct,0.2136752136752137,0.2136752136752137
kbaa-p003:token_sort_ratio,99.96128532713898,99.96128532713898
kbaa-p039:dist_char,166,21
kbaa-p039:doc_len,3130,3130
kbaa-p039:cer_pct,5.303514376996805,0.670926517571885
kbaa-p039:wer_pct,8.333333333333332,1.2962962962962963
kbaa-p039:token_sort_ratio,99.2471568156335,99.3912207625761
kbaa-p005:dist_char,133,16
kbaa-p005:doc_len,3408,3408
kbaa-p005:cer_pct,3.9025821596244135,0.4694835680751174
kbaa-p005:wer_pct,8.27814569536424,0.6622516556291391
kbaa-p005:token_sort_ratio,98.48640705363702,99.58835636577477
kbaa-p011:dist_char,179,147
kbaa-p011:doc_len,3290,3290
kbaa-p011:cer_pct,5.4407294832826745,4.468085106382979
kbaa-p011:wer_pct,7.211538461538461,5.769230769230769
kbaa-p011:token_sort_ratio,99.58860277312205,99.69521487351417
kbaa-p010:dist_char,53,66
kbaa-p010:doc_len,3294,3294
kbaa-p010:cer_pct,1.6089860352155434,2.0036429872495445
kbaa-p010:wer_pct,1.1904761904761905,1.530612244897959
kbaa-p010:token_sort_ratio,99.80270147215056,98.98804047838087
kbaa-p004:dist_char,8,20
kbaa-p004:doc_len,3400,3400
kbaa-p004:cer_pct,0.2352941176470588,0.5882352941176471
kbaa-p004:wer_pct,0.4878048780487805,0.4878048780487805
kbaa-p004:token_sort_ratio,99.97057958223007,99.70501474926253
kbaa-p038:dist_char,118,46
kbaa-p038:doc_len,3265,3265
kbaa-p038:cer_pct,3.6140888208269524,1.4088820826952528
kbaa-p038:wer_pct,4.886561954624781,1.7452006980802792
kbaa-p038:token_sort_ratio,99.19926085617493,99.00138270087571
kbaa-p012:dist_char,28,29
kbaa-p012:doc_len,3433,3433
kbaa-p012:cer_pct,0.8156131663268279,0.8447422079813574
kbaa-p012:wer_pct,1.4634146341463417,1.788617886178862
kbaa-p012:token_sort_ratio,99.24021040327294,99.19649379108839
kbaa-p006:dist_char,37,26
kbaa-p006:doc_len,3319,3319
kbaa-p006:cer_pct,1.1147936125338958,0.783368484483278
kbaa-p006:wer_pct,1.1725293132328307,1.0050251256281406
kbaa-p006:token_sort_ratio,99.40935938209905,99.57678355501814
kbaa-p007:dist_char,16,16
kbaa-p007:doc_len,3294,3294
kbaa-p007:cer_pct,0.4857316332726169,0.4857316332726169
kbaa-p007:wer_pct,0.5033557046979865,0.5033557046979865
