,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,2,2
kbaa-p003:doc_len,2584,2584
kbaa-p003:cer_pct,0.07739938080495357,0.07739938080495357
kbaa-p003:wer_pct,0.2136752136752137,0.2136752136752137
kbaa-p003:token_sort_ratio,99.96128532713898,99.96128532713898
kbaa-p039:dist_char,183,20
kbaa-p039:doc_len,3131,3131
kbaa-p039:cer_pct,5.844778026189715,0.6387735547748323
kbaa-p039:wer_pct,8.687615526802219,0.9242144177449169
kbaa-p039:token_sort_ratio,99.53696311671723,99.47140797693417
kbaa-p005:dist_char,133,16
kbaa-p005:doc_len,3408,3408
kbaa-p005:cer_pct,3.9025821596244135,0.4694835680751174
kbaa-p005:wer_pct,8.27814569536424,0.6622516556291391
kbaa-p005:token_sort_ratio,98.48640705363702,99.58835636577477
kbaa-p011:dist_char,179,164
kbaa-p011:doc_len,3290,3290
kbaa-p011:cer_pct,5.4407294832826745,4.984802431610942
kbaa-p011:wer_pct,7.211538461538461,6.570512820512821
kbaa-p011:token_sort_ratio,99.58860277312205,99.64955051043731
kbaa-p010:dist_char,41,66
kbaa-p010:doc_len,3294,3294
kbaa-p010:cer_pct,1.2446873102610807,2.0036429872495445
kbaa-p010:wer_pct,0.8503401360544218,1.530612244897959
kbaa-p010:token_sort_ratio,99.37375897357569,98.98804047838087
kbaa-p004:dist_char,136,20
kbaa-p004:doc_len,3400,3400
kbaa-p004:cer_pct,4.0,0.5882352941176471
kbaa-p004:wer_pct,7.317073170731707,0.4878048780487805
kbaa-p004:token_sort_ratio,99.3512238277794,99.70501474926253
kbaa-p038:dist_char,114,50
kbaa-p038:doc_len,3265,3265
kbaa-p038:cer_pct,3.4915773353751915,1.5313935681470139
kbaa-p038:wer_pct,4.712041884816754,1.9197207678883073
kbaa-p038:token_sort_ratio,99.26131117266851,98.9356779268857
kbaa-p012:dist_char,43,29
kbaa-p012:doc_len,3433,3433
kbaa-p012:cer_pct,1.2525487911447712,0.8447422079813574
kbaa-p012:wer_pct,1.788617886178862,1.788617886178862
kbaa-p012:token_sort_ratio,99.01889002782252,99.19649379108839
kbaa-p006:dist_char,37,26
kbaa-p006:doc_len,3319,3319
kbaa-p006:cer_pct,1.1147936125338958,0.783368484483278
kbaa-p006:wer_pct,1.1725293132328307,1.0050251256281406
kbaa-p006:token_sort_ratio,99.40935938209905,99.57678355501814
kbaa-p007:dist_char,16,16
kbaa-p007:doc_len,3294,3294
kbaa-p007:cer_pct,0.4857316332726169,0.4857316332726169
kbaa-p007:wer_pct,0.5033557046979865,0.5033557046979865
