,gemini-2.5-flash,gpt-4o
kbaa-p003:dist_char,2,2
kbaa-p003:doc_len,2584,2584
kbaa-p003:cer_pct,0.07739938080495357,0.07739938080495357
kbaa-p003:wer_pct,0.2136752136752137,0.2136752136752137
kbaa-p003:token_sort_ratio,99.96128532713898,99.96128532713898
kbaa-p004:dist_char,75,20
kbaa-p004:doc_len,3400,3400
kbaa-p004:cer_pct,2.2058823529411766,0.5882352941176471
kbaa-p004:wer_pct,2.2764227642276422,0.4878048780487805
kbaa-p004:token_sort_ratio,98.81305637982196,99.70501474926253
kbaa-p005:dist_char,134,32
kbaa-p005:doc_len,3408,3408
kbaa-p005:cer_pct,3.931924882629108,0.9389671361502347
kbaa-p005:wer_pct,8.443708609271523,1.3245033112582782
kbaa-p005:token_sort_ratio,98.56009403467529,99.52830188679245
kbaa-p006:dist_char,36,54
kbaa-p006:doc_len,3319,3319
kbaa-p006:cer_pct,1.084664055438385,1.6269960831575776
kbaa-p006:wer_pct,0.8375209380234505,2.1775544388609713
kbaa-p006:token_sort_ratio,99.45471069372917,99.02971497877502
kbaa-p007:dist_char,16,16
kbaa-p007:doc_len,3294,3294
kbaa-p007:cer_pct,0.4857316332726169,0.4857316332726169
kbaa-p007:wer_pct,0.5033557046979865,0.5033557046979865
kbaa-p007:token_sort_ratio,99.75654290931223,99.75654290931223
kbaa-p008:dist_char,216,44
kbaa-p008:doc_len,3305,3305
kbaa-p008:cer_pct,6.535552193645991,1.3313161875945536
kbaa-p008:wer_pct,10.26086956521739,1.565217391304348
kbaa-p008:token_sort_ratio,98.49383842994067,99.13228801948546
kbaa-p009:dist_char,186,17
kbaa-p009:doc_len,3304,3304
kbaa-p009:cer_pct,5.629539951573849,0.5145278450363197
kbaa-p009:wer_pct,7.820299500831947,0.49916805324459235
kbaa-p009:token_sort_ratio,99.63592233009709,99.74207252313761
kbaa-p010:dist_char,81,81
kbaa-p010:doc_len,3294,3294
kbaa-p010:cer_pct,2.459016393442623,2.459016393442623
kbaa-p010:wer_pct,1.870748299319728,1.870748299319728
kbaa-p010:token_sort_ratio,98.7551867219917,98.7551867219917
kbaa-p011:dist_char,179,28
kbaa-p011:doc_len,3290,3290
kbaa-p011:cer_pct,5.4407294832826745,0.851063829787234
kbaa-p011:wer_pct,7.211538461538461,1.1217948717948718
kbaa-p011:token_sort_ratio,99.58860277312205,99.69521487351417
kbaa-p012:dist_char,43,29
kbaa-p012:doc_len,3433,3433
kbaa-p012:cer_pct,1.2525487911447712,0.8447422079813574
kbaa-p012:wer_pct,1.788617886178862,1.788617886178862
